date,grid240,ohlc_sane,daily_price_max_gap,price_qualified,volume_unit
2026-04-30,True,True,3.051757815342171e-06,True,unverified_not_used_for_price_qualification
2026-05-06,True,True,1.8310546892053026e-06,True,unverified_not_used_for_price_qualification
2026-05-07,True,True,3.662109378410605e-06,True,unverified_not_used_for_price_qualification
2026-05-08,True,True,3.051757815342171e-06,True,unverified_not_used_for_price_qualification
2026-05-11,True,True,3.051757815342171e-06,True,unverified_not_used_for_price_qualification
2026-05-12,True,True,2.7465820267025265e-06,True,unverified_not_used_for_price_qualification
2026-05-13,True,True,3.662109378410605e-06,True,unverified_not_used_for_price_qualification
2026-05-14,True,True,1.5258789005656581e-06,True,unverified_not_used_for_price_qualification
2026-05-15,True,True,2.7465820267025265e-06,True,unverified_not_used_for_price_qualification
2026-05-18,True,True,3.3569335897709607e-06,True,unverified_not_used_for_price_qualification
2026-05-19,True,True,3.051757815342171e-06,True,unverified_not_used_for_price_qualification
2026-05-20,True,True,3.051757815342171e-06,True,unverified_not_used_for_price_qualification
2026-05-21,True,True,3.051757815342171e-06,True,unverified_not_used_for_price_qualification
2026-05-22,True,True,3.662109378410605e-06,True,unverified_not_used_for_price_qualification
2026-05-25,True,True,3.051757815342171e-06,True,unverified_not_used_for_price_qualification
2026-05-26,True,True,3.3569335897709607e-06,True,unverified_not_used_for_price_qualification
2026-05-27,True,True,2.4414062522737368e-06,True,unverified_not_used_for_price_qualification
2026-05-28,True,True,1.2207031261368684e-06,True,unverified_not_used_for_price_qualification
2026-05-29,True,True,2.7465820267025265e-06,True,unverified_not_used_for_price_qualification
2026-06-01,True,True,3.051757815342171e-06,True,unverified_not_used_for_price_qualification
2026-06-02,True,True,2.1362304636340923e-06,True,unverified_not_used_for_price_qualification
2026-06-03,True,True,3.051757815342171e-06,True,unverified_not_used_for_price_qualification
2026-06-04,True,True,3.051757815342171e-06,True,unverified_not_used_for_price_qualification
2026-06-05,True,True,2.4414062522737368e-06,True,unverified_not_used_for_price_qualification
2026-06-08,True,True,3.662109378410605e-06,True,unverified_not_used_for_price_qualification
2026-06-09,True,True,2.7465820267025265e-06,True,unverified_not_used_for_price_qualification
2026-06-10,True,True,2.7465820267025265e-06,True,unverified_not_used_for_price_qualification
2026-06-11,True,True,3.3569335897709607e-06,True,unverified_not_used_for_price_qualification
2026-06-12,True,True,2.7465820267025265e-06,True,unverified_not_used_for_price_qualification
2026-06-15,True,True,3.3569335897709607e-06,True,unverified_not_used_for_price_qualification
2026-06-16,True,True,2.1362304636340923e-06,True,unverified_not_used_for_price_qualification
2026-06-17,True,True,3.051757815342171e-06,True,unverified_not_used_for_price_qualification
2026-06-18,True,True,3.051757815342171e-06,True,unverified_not_used_for_price_qualification
2026-06-22,True,True,3.662109378410605e-06,True,unverified_not_used_for_price_qualification
2026-06-23,True,True,3.051757815342171e-06,True,unverified_not_used_for_price_qualification
2026-06-24,True,True,2.1362304636340923e-06,True,unverified_not_used_for_price_qualification
2026-06-25,True,True,3.662109378410605e-06,True,unverified_not_used_for_price_qualification
2026-06-26,True,True,1.2207031261368684e-06,True,unverified_not_used_for_price_qualification
2026-06-29,True,True,3.051757815342171e-06,True,unverified_not_used_for_price_qualification
2026-06-30,True,True,2.4414062522737368e-06,True,unverified_not_used_for_price_qualification
2026-07-01,True,True,2.7465820267025265e-06,True,unverified_not_used_for_price_qualification
2026-07-02,True,True,3.3569335897709607e-06,True,unverified_not_used_for_price_qualification
2026-07-03,True,True,1.6784667948854803e-06,True,unverified_not_used_for_price_qualification
2026-07-06,True,True,3.3569335897709607e-06,True,unverified_not_used_for_price_qualification
2026-07-07,True,True,1.8310546892053026e-06,True,unverified_not_used_for_price_qualification
2026-07-08,True,True,2.1362304636340923e-06,True,unverified_not_used_for_price_qualification
2026-07-09,True,True,3.662109378410605e-06,True,unverified_not_used_for_price_qualification
2026-07-10,True,True,3.3569335897709607e-06,True,unverified_not_used_for_price_qualification
2026-07-13,True,True,3.662109378410605e-06,True,unverified_not_used_for_price_qualification
2026-07-14,True,True,1.8310546892053026e-06,True,unverified_not_used_for_price_qualification
2026-07-15,True,True,2.7465820267025265e-06,True,unverified_not_used_for_price_qualification
2026-07-16,True,True,2.4414062522737368e-06,True,unverified_not_used_for_price_qualification
2026-07-17,True,True,1.3732910204566906e-06,True,unverified_not_used_for_price_qualification
2026-07-20,True,True,1.3732910204566906e-06,True,unverified_not_used_for_price_qualification
2026-07-21,True,True,1.5258789076710855e-06,True,unverified_not_used_for_price_qualification
2026-07-22,True,True,1.6784667948854803e-06,True,unverified_not_used_for_price_qualification
2026-07-23,True,True,1.6784667948854803e-06,True,unverified_not_used_for_price_qualification
2026-07-24,True,True,1.8310546892053026e-06,True,unverified_not_used_for_price_qualification
2026-07-27,True,True,1.0681152318170462e-06,True,unverified_not_used_for_price_qualification
2026-07-28,True,True,1.8310546892053026e-06,True,unverified_not_used_for_price_qualification
2026-07-29,True,True,1.8310546892053026e-06,True,unverified_not_used_for_price_qualification
2026-07-30,True,True,1.2207031261368684e-06,True,unverified_not_used_for_price_qualification
2026-07-31,True,True,7.629394502828291e-07,True,unverified_not_used_for_price_qualification
2026-08-03,True,True,1.5258789076710855e-06,True,unverified_not_used_for_price_qualification
2026-08-04,True,True,1.3732910133512632e-06,True,unverified_not_used_for_price_qualification
2026-08-05,True,True,1.8310546892053026e-06,True,unverified_not_used_for_price_qualification
2026-08-06,True,True,3.3569335897709607e-06,True,unverified_not_used_for_price_qualification
2026-08-07,True,True,3.3569335897709607e-06,True,unverified_not_used_for_price_qualification
2026-08-10,True,True,1.5258789005656581e-06,True,unverified_not_used_for_price_qualification
2026-08-11,True,True,3.3569335897709607e-06,True,unverified_not_used_for_price_qualification
2026-08-12,True,True,3.3569335897709607e-06,True,unverified_not_used_for_price_qualification
2026-08-13,True,True,3.3569335897709607e-06,True,unverified_not_used_for_price_qualification
2026-08-14,True,True,3.3569335897709607e-06,True,unverified_not_used_for_price_qualification
2026-08-17,True,True,3.3569335897709607e-06,True,unverified_not_used_for_price_qualification
2026-08-18,True,True,3.051757815342171e-06,True,unverified_not_used_for_price_qualification
2026-08-19,True,True,2.7465820267025265e-06,True,unverified_not_used_for_price_qualification
2026-08-20,True,True,1.0681152318170462e-06,True,unverified_not_used_for_price_qualification
2026-08-21,True,True,1.5258789076710855e-06,True,unverified_not_used_for_price_qualification
2026-08-24,True,True,1.5258789076710855e-06,True,unverified_not_used_for_price_qualification
2026-08-25,True,True,1.5258789147765128e-06,True,unverified_not_used_for_price_qualification
2026-08-26,True,True,1.0681152318170462e-06,True,unverified_not_used_for_price_qualification
2026-08-27,True,True,6.103515630684342e-07,True,unverified_not_used_for_price_qualification
2026-08-28,True,True,2.4414062522737368e-06,True,unverified_not_used_for_price_qualification
2026-08-31,True,True,3.662109378410605e-06,True,unverified_not_used_for_price_qualification
2026-09-01,True,True,1.5258789005656581e-06,True,unverified_not_used_for_price_qualification
2026-09-02,True,True,1.5258789076710855e-06,True,unverified_not_used_for_price_qualification
2026-09-03,True,True,1.6784667948854803e-06,True,unverified_not_used_for_price_qualification
2026-09-04,True,True,3.051757815342171e-06,True,unverified_not_used_for_price_qualification
2026-09-07,True,True,2.7465820267025265e-06,True,unverified_not_used_for_price_qualification
2026-09-08,True,True,3.051757815342171e-06,True,unverified_not_used_for_price_qualification
2026-09-09,True,True,2.1362304636340923e-06,True,unverified_not_used_for_price_qualification
2026-09-10,True,True,3.662109378410605e-06,True,unverified_not_used_for_price_qualification
2026-09-11,True,True,2.1362304636340923e-06,True,unverified_not_used_for_price_qualification
