layer,valid,hit,nonhit,unknown,hit_fine_checkable,hit_flips,hit_unconfirmed,hit_mean,hit_cash,matched_S0_mean,matched_S0_cash,improvement,nonhit_mean,all_fine_flips
anomaly_unlocalized,458,122,336,1,0,0,122,0.23242251545490047,8046.83470212035,-0.023017802952169694,10059.900885436533,0.25544031840707015,-0.11576696618330826,0
fine_price_consistent,2,0,2,0,0,0,0,,0.0,-0.5883999047238454,-778.0619732579988,,-0.5883999047238454,0
full_day_consistent_unconfirmed,1069,264,805,3,0,0,264,-0.1592365456466487,-3476.2684841194855,-0.22564807587671312,-33912.26892287212,0.06641153023006444,-0.24742775784036156,0
pre1450_price_discrepancy,90,25,65,0,25,0,0,0.22526692832673995,5174.8651955971645,-0.17238021426300634,-9145.213920424409,0.3976471425897463,-0.32532142295137023,0
