date,original_signal,endpoint_good,high_bad,low_bad,volume_bad,strict,original_net,original_cash,fine_qualified,direct_pre_daily_bounds_conflict,layer,signal_status,volume_timing,fine_clv,fine_signal,pre_max_price_gap,post_max_price_gap,post0940_price_gap
2020-01-03,True,True,False,False,False,True,0.8943441937431506,162.94951210000204,False,False,full_day_consistent_unconfirmed,unconfirmed,full_day_volume_consistent,,,,,
2020-01-10,True,True,False,False,False,True,-0.2039211586245026,-36.76698489999782,False,False,full_day_consistent_unconfirmed,unconfirmed,full_day_volume_consistent,,,,,
2020-01-14,True,True,False,False,False,True,-0.0407047558455627,-7.485604599998982,False,False,full_day_consistent_unconfirmed,unconfirmed,full_day_volume_consistent,,,,,
2020-01-16,True,True,False,False,False,True,-0.2582683052688551,-47.54719499999622,False,False,full_day_consistent_unconfirmed,unconfirmed,full_day_volume_consistent,,,,,
2020-02-13,True,True,False,False,False,True,0.6108339391965445,112.5156116000035,False,False,full_day_consistent_unconfirmed,unconfirmed,full_day_volume_consistent,,,,,
2020-02-19,True,True,False,False,False,True,-0.7991474094104772,-147.76235599999723,False,False,full_day_consistent_unconfirmed,unconfirmed,full_day_volume_consistent,,,,,
2020-02-28,True,True,False,False,False,True,-1.5512240175643952,-264.9490621999987,False,False,full_day_consistent_unconfirmed,unconfirmed,full_day_volume_consistent,,,,,
2020-03-03,True,True,False,False,False,True,0.9434651496559892,164.54032210000452,False,False,full_day_consistent_unconfirmed,unconfirmed,full_day_volume_consistent,,,,,
2020-03-09,True,True,False,False,False,True,0.9709820271940784,157.10489200000188,False,False,full_day_consistent_unconfirmed,unconfirmed,full_day_volume_consistent,,,,,
2020-03-11,True,True,False,False,False,True,1.489827526602174,246.41747289999955,False,False,full_day_consistent_unconfirmed,unconfirmed,full_day_volume_consistent,,,,,
2020-03-16,True,True,False,False,False,True,-0.9035779783216736,-129.21165089999934,False,False,full_day_consistent_unconfirmed,unconfirmed,full_day_volume_consistent,,,,,
