account,intraday_buy_orders,intraday_quantity,intraday_fees,suppressed_window_exposure_days,first_intraday,classification
S2_F4_0_restricted,9,900,45.22065026999999,117,2020-03-10,retrospective_QC_dependency
S2_F4_10_locked,3,300,15.065212589999998,526,2021-07-14,retrospective_QC_dependency
S2_F4_10_nominal,0,0,0.0,51,,retrospective_QC_dependency
S2_F4_10_restricted,4,400,20.077658810000003,117,2021-05-24,retrospective_QC_dependency
S2_F4_30_locked,0,0,0.0,37,,retrospective_QC_dependency
S2_F4_30_nominal,0,0,0.0,0,,no_intraday_or_suppressed_exposure
S2_F4_30_restricted,1,100,5.02237118,45,2024-08-02,retrospective_QC_dependency
S2_F5_0_locked,6,600,30.14821407,526,2020-07-16,retrospective_QC_dependency
S2_F5_0_nominal,0,0,0.0,41,,retrospective_QC_dependency
S2_F5_0_restricted,6,600,30.1446723,521,2020-08-27,retrospective_QC_dependency
S2_F5_10_locked,1,100,5.00852426,526,2022-09-27,retrospective_QC_dependency
S2_F5_10_nominal,0,0,0.0,41,,retrospective_QC_dependency
S2_F5_10_restricted,0,0,0.0,41,,retrospective_QC_dependency
S2_F5_30_locked,0,0,0.0,0,,no_intraday_or_suppressed_exposure
S2_F5_30_nominal,0,0,0.0,0,,no_intraday_or_suppressed_exposure
S2_F5_30_restricted,0,0,0.0,0,,no_intraday_or_suppressed_exposure
S2_F6_0_locked,16,1600,80.36563272500001,526,2020-09-07,retrospective_QC_dependency
S2_F6_0_nominal,0,0,0.0,453,,retrospective_QC_dependency
S2_F6_0_restricted,13,1300,65.27293639999999,473,2020-09-10,retrospective_QC_dependency
S2_F6_10_locked,6,600,30.100860405,526,2021-11-26,retrospective_QC_dependency
S2_F6_10_nominal,0,0,0.0,453,,retrospective_QC_dependency
S2_F6_10_restricted,6,600,30.100980465,473,2022-01-27,retrospective_QC_dependency
S2_F6_30_locked,1,100,5.019039515,261,2025-04-03,retrospective_QC_dependency
S2_F6_30_nominal,0,0,0.0,114,,retrospective_QC_dependency
S2_F6_30_restricted,0,0,0.0,217,,retrospective_QC_dependency
S2_F7_0_locked,0,0,0.0,0,,no_intraday_or_suppressed_exposure
S2_F7_0_nominal,0,0,0.0,0,,no_intraday_or_suppressed_exposure
S2_F7_0_restricted,0,0,0.0,0,,no_intraday_or_suppressed_exposure
S2_F7_10_locked,0,0,0.0,0,,no_intraday_or_suppressed_exposure
S2_F7_10_nominal,0,0,0.0,0,,no_intraday_or_suppressed_exposure
S2_F7_10_restricted,0,0,0.0,0,,no_intraday_or_suppressed_exposure
S2_F7_30_locked,0,0,0.0,0,,no_intraday_or_suppressed_exposure
S2_F7_30_nominal,0,0,0.0,0,,no_intraday_or_suppressed_exposure
S2_F7_30_restricted,0,0,0.0,0,,no_intraday_or_suppressed_exposure
