account,dependency,date,clock,quantity,reference,fee,day_qc,available_at
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-10-11,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-10-12,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-10-13,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-10-16,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-10-17,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-10-18,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-10-19,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-10-20,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-10-24,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-10-25,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-10-26,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-10-27,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-11-02,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-11-03,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-11-09,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-11-10,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-11-13,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-11-14,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-11-16,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-11-17,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-11-20,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-11-22,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-11-23,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-11-27,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-11-28,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-11-29,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-11-30,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-12-01,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-12-04,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-12-06,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-12-07,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-12-08,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-12-11,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-12-12,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-12-13,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-12-15,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-12-18,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-12-19,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-12-22,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-12-25,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-12-26,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-12-27,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-12-28,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-12-29,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2024-01-03,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2024-01-04,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2024-01-05,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2024-01-10,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2024-01-11,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2024-01-16,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2024-01-17,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2024-01-18,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2024-01-19,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2024-01-22,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2024-01-23,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2024-01-24,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2024-01-25,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2024-01-26,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2024-01-29,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2024-01-30,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2024-01-31,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2024-02-01,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2024-02-02,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2024-02-05,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2024-02-06,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2024-02-07,,100,,,False,after15:00_or_unknown_provider_latency
