ordinal,date,status_old,cash_old,net_old,fee_old,extra_cash_old,days_missing_old,restore_date_old,auction_quantity,restore_clock_old,restore_price,restore_kind,missed_dividend_old,cash_openonly,net_openonly,status_openonly,restore_date_openonly,days_missing_openonly,restore_clock_openonly,missed_dividend_openonly,fee_openonly,extra_cash_openonly
519,2020-07-28,completed,-48.98649509999901,-0.3447325482054821,24.771495100000003,48.98649509999814,1,2020-07-29,unknown,09:25,14.22,open_proxy,0.0,-48.98649509999901,-0.3447325482054821,restored_at_open,2020-07-29,1,09:25,0.0,24.771495100000003,48.98649509999814
520,2020-07-29,completed,-39.59314499999872,-0.2728679875947533,25.083145,39.59314499999891,1,2020-07-30,unknown,09:25,14.51,open_proxy,0.0,-39.593144999998714,-0.27286798759475334,restored_at_open,2020-07-30,1,09:25,0.0,25.083145000000002,39.59314499999891
521,2020-07-30,completed,-29.139254899998623,-0.2039136102169253,24.854254900000004,29.139254899999287,1,2020-07-31,unknown,09:25,14.28,open_proxy,0.0,-29.139254899998626,-0.2039136102169253,restored_at_open,2020-07-31,1,09:25,0.0,24.854254900000004,29.139254899999287
522,2020-07-31,completed,-129.80310589999863,-0.8896717333790173,25.1681059,129.80310589999863,1,2020-08-03,unknown,09:25,14.68,open_proxy,0.0,-129.80310589999863,-0.8896717333790173,restored_at_open,2020-08-03,1,09:25,0.0,25.1681059,129.80310589999863
523,2020-08-03,completed,-50.37335509999847,-0.3383032578911918,25.4783551,50.37335509999866,1,2020-08-04,unknown,09:25,14.9,open_proxy,0.0,-50.37335509999847,-0.33830325789119187,restored_at_open,2020-08-04,1,09:25,0.0,25.4783551,50.37335509999866
524,2020-08-04,completed,-190.01786149999748,-1.2943996014986203,25.262861500000003,190.0178614999968,1,2020-08-05,unknown,09:25,14.83,open_proxy,0.0,-190.01786149999748,-1.2943996014986205,restored_at_open,2020-08-05,1,09:25,0.0,25.262861500000003,190.0178614999968
525,2020-08-05,completed,-79.81789539999758,-0.5463237193702778,25.1878954,79.81789539999772,1,2020-08-06,unknown,09:25,14.65,open_proxy,0.0,-79.81789539999758,-0.5463237193702778,restored_at_open,2020-08-06,1,09:25,0.0,25.187895400000002,79.81789539999772
526,2020-08-06,completed,-19.562349800000117,-0.1349127572413801,25.0723498,19.562349800000447,1,2020-08-07,unknown,09:25,14.48,open_proxy,0.0,-19.562349800000113,-0.1349127572413801,restored_at_open,2020-08-07,1,09:25,0.0,25.0723498,19.562349800000447
527,2020-08-07,completed,70.89235110000044,0.4957507069930101,24.862648900000003,0.0,1,2020-08-10,unknown,09:25,14.19,open_proxy,0.0,70.89235110000044,0.4957507069930101,restored_at_open,2020-08-10,1,09:25,0.0,24.862648900000003,0.0
528,2020-08-10,completed,-29.38399489999928,-0.2039139132546792,24.9789949,29.38399489999938,1,2020-08-11,unknown,09:25,14.4,open_proxy,0.0,-29.383994899999276,-0.20391391325467922,restored_at_open,2020-08-11,1,09:25,0.0,24.9789949,29.38399489999938
529,2020-08-11,completed,-258.9937221999993,-1.8290517104519728,24.723722200000005,258.99372219999896,1,2020-08-12,unknown,09:25,14.38,open_proxy,0.0,-258.99372219999935,-1.8290517104519728,restored_at_open,2020-08-12,1,09:25,0.0,24.723722200000005,258.99372219999896
530,2020-08-12,completed,-170.94563129999764,-1.1290992820343306,25.7406313,170.94563129999733,1,2020-08-13,unknown,09:25,15.27,open_proxy,0.0,-170.94563129999764,-1.1290992820343306,restored_at_open,2020-08-13,1,09:25,0.0,25.7406313,170.94563129999733
531,2020-08-13,completed,119.14398660000217,0.7853921331575621,25.7660134,0.0,1,2020-08-14,unknown,09:25,15.01,open_proxy,0.0,119.14398660000217,0.7853921331575621,restored_at_open,2020-08-14,1,09:25,0.0,25.766013400000002,0.0
532,2020-08-14,completed,-100.68488559999916,-0.6698927850964681,25.6248856,100.68488559999967,1,2020-08-17,unknown,09:25,15.09,open_proxy,0.0,-100.68488559999916,-0.6698927850964681,restored_at_open,2020-08-17,1,09:25,0.0,25.6248856,100.68488559999969
533,2020-08-17,completed,-61.173960199998426,-0.4003531426701467,25.883960200000004,61.17396019999797,1,2020-08-18,unknown,09:25,15.3,open_proxy,0.0,-61.173960199998426,-0.40035314267014677,restored_at_open,2020-08-18,1,09:25,0.0,25.883960200000004,61.173960199997964
534,2020-08-18,completed,-40.95960999999615,-0.2698261528326491,25.779610000000005,40.959609999996246,1,2020-08-19,unknown,09:25,15.18,open_proxy,0.0,-40.95960999999615,-0.26982615283264916,restored_at_open,2020-08-19,1,09:25,0.0,25.779610000000005,40.959609999996246
