rule,first_window,slip_bp,date,exit_date,cash,net,fee,status
S1_F1,open,5,2020-11-06,2020-11-09,-308.6934026999984,-2.20495287642856,24.558402700000002,indicative_independent_opportunity_not_account
S1_F1,open,5,2020-11-16,2020-11-17,-19.11365979999862,-0.13384915826329563,24.8436598,indicative_independent_opportunity_not_account
S1_F1,open,5,2020-12-02,2020-12-03,11.37102550000036,0.0809325658363015,24.603974500000003,indicative_independent_opportunity_not_account
S1_F1,open,5,2020-12-09,2020-12-10,21.845310600000943,0.15807026483358136,24.364689400000003,indicative_independent_opportunity_not_account
S1_F1,open,5,2020-12-15,2020-12-16,-37.655619999997676,-0.27769631268434863,24.095620000000004,indicative_independent_opportunity_not_account
S1_F1,open,5,2020-12-18,2020-12-21,12.186825500001817,0.0892807728937862,24.188174500000002,indicative_independent_opportunity_not_account
S1_F1,open,5,2020-12-24,2020-12-25,-7.272909699997967,-0.05435657473840035,23.907909700000005,indicative_independent_opportunity_not_account
S1_F1,open,5,2020-12-28,2020-12-29,-87.09016549999825,-0.656293636021087,23.795165500000003,indicative_independent_opportunity_not_account
S1_F1,open,5,2020-12-31,2021-01-04,-47.92595509999789,-0.3500800226442505,24.2309551,indicative_independent_opportunity_not_account
S1_F1,open,5,2021-01-06,2021-01-07,41.75373580000189,0.3010363071377209,24.4162642,indicative_independent_opportunity_not_account
S1_F1,open,5,2021-01-13,2021-01-14,-10.944009699997238,-0.07209492555992911,25.779009700000003,indicative_independent_opportunity_not_account
S1_F1,open,5,2021-01-19,2021-01-20,-290.92645249999856,-1.9266652483443614,25.701452500000002,indicative_independent_opportunity_not_account
S1_F1,open,5,2021-01-26,2021-01-27,-170.2929912999984,-1.1490755148447935,25.4079913,indicative_independent_opportunity_not_account
S1_F1,open,5,2021-02-05,2021-02-08,23.089405600001527,0.17478732475398584,23.7305944,indicative_independent_opportunity_not_account
S1_F1,open,5,2021-02-10,2021-02-18,-118.67618079999811,-0.8452719430199296,24.596180800000003,indicative_independent_opportunity_not_account
S1_F1,open,5,2021-02-22,2021-02-23,81.57058620000197,0.5838982548317965,24.519413800000002,indicative_independent_opportunity_not_account
S1_F1,open,5,2021-02-25,2021-02-26,111.68816150000248,0.8023574820402477,24.4668385,indicative_independent_opportunity_not_account
S1_F1,open,5,2021-03-04,2021-03-05,92.2692163000013,0.6769568327219464,24.165783700000002,indicative_independent_opportunity_not_account
S1_F1,open,5,2021-03-08,2021-03-09,-17.930749799998694,-0.1308813854014503,24.240749800000003,indicative_independent_opportunity_not_account
S1_F1,open,5,2021-03-17,2021-03-18,-57.64562519999949,-0.42542896826567894,24.085625200000003,indicative_independent_opportunity_not_account
S1_F1,open,5,2021-03-31,2021-04-01,-79.32841539999941,-0.5520418608211511,24.9384154,indicative_independent_opportunity_not_account
S1_F1,open,5,2021-04-08,2021-04-09,30.74918070000291,0.21413078481896175,24.9258193,indicative_independent_opportunity_not_account
S1_F1,open,5,2021-04-20,2021-04-21,10.697990500002252,0.07439492698193499,24.947009500000004,indicative_independent_opportunity_not_account
S1_F1,open,5,2021-04-22,2021-04-23,-8.904509699997238,-0.06279626022565048,24.739509700000003,indicative_independent_opportunity_not_account
S1_F1,open,5,2021-04-28,2021-04-29,-139.72672599999854,-0.9603211408934608,25.126725999999998,indicative_independent_opportunity_not_account
S1_F1,open,5,2021-05-07,2021-05-10,-87.45727549999854,-0.6502399665427401,23.982275500000004,indicative_independent_opportunity_not_account
S1_F1,open,5,2021-05-13,2021-05-14,-57.29891019999761,-0.42824297608368916,23.908910200000005,indicative_independent_opportunity_not_account
S1_F1,open,5,2021-05-19,2021-05-20,-26.93659489999811,-0.20391063512489105,23.7315949,indicative_independent_opportunity_not_account
S1_F1,open,5,2021-05-26,2021-05-27,-5.600519699998255,-0.0445901249999861,23.0555197,indicative_independent_opportunity_not_account
S1_F1,open,5,2021-06-01,2021-06-02,-25.345784899999273,-0.20390816492356614,22.9207849,indicative_independent_opportunity_not_account
S1_F1,open,5,2021-06-08,2021-06-09,4.506655400002032,0.036024423661087386,23.003344600000005,indicative_independent_opportunity_not_account
S1_F1,open,5,2021-06-18,2021-06-21,54.57344590000211,0.43693711689353176,22.9815541,indicative_independent_opportunity_not_account
S1_F1,open,5,2021-06-25,2021-06-28,-85.7440954999984,-0.6799690364789722,23.109095500000002,indicative_independent_opportunity_not_account
S1_F1,open,5,2021-07-06,2021-07-07,5.077715400000873,0.04151852330335955,22.7122846,indicative_independent_opportunity_not_account
S1_F1,open,5,2021-07-16,2021-07-19,-43.43905509999898,-0.37805966144472564,21.9440551,indicative_independent_opportunity_not_account
S1_F1,open,5,2021-07-20,2021-07-21,-13.892539799997312,-0.11853702901021597,22.182539800000004,indicative_independent_opportunity_not_account
S1_F1,open,5,2021-08-02,2021-08-03,-74.10729539999811,-0.6274961507197131,22.277295400000003,indicative_independent_opportunity_not_account
