rule,n,old_cash,new_cash,old_mean,new_mean,changed,delayed_new
S0,1623,-36600.11081561806,-36600.11081561807,-0.17473982881224046,-0.17473982881224046,0,1
S1_F1,341,3590.3727668028614,3590.3727668028614,-0.13759679690880416,-0.13759679690880414,0,1
S2_F2,411,8256.576685548016,8256.576685548014,-0.04231681968449724,-0.042316819684497256,0,0
