window,stage,n,mean_pct,median_pct,win_pct,cash,pf_pct,pf_cash,worst_pct,mdd_cash,clusters,episodes,delete5_pct,delete5_cash,double_slip_pct,double_slip_cash,matched_n,excluded_n,matched_open_pct,matched_open_cash,delayed_pct,delayed_cash,month_ci_low,month_ci_high,down_pct,gross_mean_pct,cost_drag_pct,gross_cash,cost_cash,largest_month,largest_month_cash,delete_largest_month_cash
old_2020_2023,ALL,32,-0.7641664093164238,-0.4449616441112503,43.75,-3066.604196849944,0.4536811920344012,0.5021341859074554,-10.90774674562256,-4091.7942350999538,21,30.0,-1.4312451445328607,-5321.104924149959,-0.8643623314630782,-3509.716893699947,32.0,0.0,-0.7641664093164238,-3066.604196849944,-0.6258811387003977,-2417.815253599938,-1.418425047275103,0.06439365215952496,46.875,-0.4887144061649813,0.2754520031514426,-1869.999999999996,1196.6041968499487,2020-01,448.8552525000037,-3515.4594493499476
old_2020_2023,U,15,-0.6511311282535552,-0.6192106897809984,40.0,-1034.1074572999773,0.5913695090713658,0.6724994660357082,-10.90774674562256,-1688.3548866999886,9,14.0,-2.318194929179512,-3087.2543885999876,-0.7512674333175801,-1244.1225145999742,15.0,0.0,-0.6511311282535552,-1034.1074572999773,-0.5884424832281726,-884.3338815499725,-1.6794263843385202,1.3725972630706826,40.0,-0.3726064019903289,0.27852472626322633,-460.0000000000009,574.1074572999764,2021-01,718.3583338000022,-1752.4657910999795
old_2020_2023,R,3,-2.1522044702563714,-3.081525029393751,33.33333333333333,-1099.4905948499954,0.0566558958205169,0.05110299452632043,-3.76286333553386,-1158.7038303499978,2,3.0,,,-2.2530984371491978,-1148.9710896999984,3.0,0.0,-2.1522044702563714,-1099.4905948499954,-1.8210992321525292,-939.7321140499937,-3.4221941824638056,0.3877749541584968,33.33333333333333,-1.8879149064920167,0.26428956376435503,-970.0000000000007,129.49059484999486,2020-08,59.21323550000247,-1158.7038303499978
old_2020_2023,D,1,0.1167243650477863,0.1167243650477863,100.0,14.660580250001964,,,0.1167243650477863,0.0,1,1.0,,,0.016973411624220638,2.1318605000021122,1.0,0.0,0.1167243650477863,14.660580250001964,-0.5192568483280173,-65.21866014999898,0.1167243650477863,0.1167243650477863,100.0,0.398089171974525,0.2813648069267387,50.00000000000071,35.33941974999875,2021-06,14.660580250001964,0.0
old_2020_2023,C,13,-0.6420360868154543,-0.1174757375527438,46.15384615384615,-947.6667249499736,0.4044225029780808,0.4858636770274749,-5.107730410911589,-1575.8551911499837,10,12.0,-1.7245384472585314,-1817.2625626999868,-0.7421739390178025,-1118.7551498999765,13.0,0.0,-0.6420360868154543,-947.6667249499736,-0.40146189578496416,-528.5305978499728,-1.8003407543783483,0.56762250795183,53.84615384615385,-0.3680084169171494,0.2740276698983048,-489.99999999999517,457.66672494997863,2023-09,430.2094423500058,-1377.8761672999794
primary,ALL,30,1.354564401329552,1.113218706524942,66.66666666666666,13849.687084720164,3.2714846407445006,3.1814857136252335,-4.650157583560376,-2839.1262382439963,19,28.0,0.5347900763287501,2551.566542496102,1.255363035354568,12862.841381440154,30.0,0.0,1.354564401329552,13849.687084720164,1.1796646852770418,10952.848116776124,0.47013511924165946,2.5259664227837426,70.0,1.5472059452855078,0.19264154395595554,15710.000000000011,1860.3129152798497,2026-05,5270.984852580012,8578.702232140153
primary,U,6,1.5877293698615835,1.0340051469048963,66.66666666666666,5034.53426179204,3.427512882478133,4.134402531597251,-2.34097114972114,-1060.5377833379823,4,6.0,-2.34097114972114,-1060.5377833379823,1.4886424147971995,4799.998923584053,6.0,0.0,1.5877293698615835,5034.53426179204,1.8374009264505569,4675.035808938017,-0.4640814290188874,6.407151735554514,66.66666666666666,1.7759391063091527,0.188209736447569,5470.0000000000055,435.4657382079665,2026-05,5270.984852580012,-236.45059078797203
primary,R,4,2.75293932925372,2.6834416544636928,100.0,2852.432545200016,,,0.7265464680488039,0.0,4,4.0,,,2.654436659784852,2755.8570904000176,4.0,0.0,2.75293932925372,2852.432545200016,1.9350063812122404,2023.270633550017,0.7392690909396766,4.75388694467689,100.0,2.944631615948337,0.19169228669461735,3040.0000000000064,187.56745479999,2024-06,1271.3876691000014,1581.0448761000148
primary,D,2,-0.801065708329252,-0.801065708329252,0.0,-284.13421355000247,0.0,0.0,-1.0589240127478876,-284.13421355000247,1,1.0,,,-0.9013369747638,-319.78032710000133,2.0,0.0,-0.801065708329252,-284.13421355000247,-0.9649369792089354,-344.07362885,-0.801065708329252,-0.801065708329252,0.0,-0.5925269438333935,0.2085387644958584,-210.0000000000044,74.13421354999807,2025-04,-284.13421355000247,0.0
primary,C,18,1.2056072177978157,1.4836442204351523,66.66666666666666,6246.85449127811,2.7552325192396356,2.4011463481514053,-4.650157583560376,-2839.1262382439963,11,17.0,-0.03910938015185899,-836.5718413659458,1.1063313267912245,5626.765694556085,18.0,0.0,1.2056072177978157,6246.85449127811,1.0308546351764898,4598.615303138089,-0.11268795917392586,2.388555048698609,72.22222222222221,1.3981706191435417,0.19256340134572594,7410.0000000000055,1163.1455087218949,2026-04,1882.3494694860215,4364.505021792089
