broad,narrow,window,n,mean_pct,median_pct,win_pct,cash,pf_pct,pf_cash,worst_pct,mdd_cash,clusters,episodes,delete5_pct,delete5_cash,double_slip_pct,double_slip_cash,matched_n,excluded_n,matched_open_pct,matched_open_cash,delayed_pct,delayed_cash,month_ci_low,month_ci_high,down_pct,gross_mean_pct,cost_drag_pct,gross_cash,cost_cash,largest_month,largest_month_cash,delete_largest_month_cash
EXT_R2,EXT_R1,old_2020_2023,36,-0.2634153389914108,-0.20191544060971975,44.44444444444444,-889.0149029499474,0.5695433142531581,0.6794431714602441,-4.015276999498484,-1549.0132743999452,32,36,-0.5731357424082254,-2205.4483005999537,-0.3633605474021087,-1366.0937058999425,36,0,-0.2634153389914108,-889.0149029499474,-0.33621266137369904,-1268.6811748499363,-0.6543562983869513,0.12862556776211825,52.77777777777778,0.013749707771179552,0.2771650467625904,409.9999999999965,1299.014902949944,2021-03,381.7998371000031,-1270.8147400499506
EXT_R2,EXT_R1,primary,15,-1.2988450227418968,-1.137861637604522,26.666666666666668,-8287.28741244593,0.23812648216907184,0.23954002686834536,-10.155278745951652,-9047.59597191594,14,15,-2.550955888992966,-10883.748426176951,-1.3993767790299043,-8967.673628891898,15,0,-1.2988450227418968,-8287.28741244593,-1.079320749028027,-7408.186814629967,-2.98842252406786,-0.04084213220845237,33.33333333333333,-1.1133701859293181,0.18547483681257879,-7049.999999999993,1237.2874124459374,2026-05,1353.0053163690052,-9640.292728814935
EXT_R2,EXT_R1,full_2020,51,-0.5679534812709656,-0.3622472760416713,39.21568627450981,-9176.30231539588,0.391504492585563,0.328779785916848,-10.155278745951652,-10450.483902915888,46,51,-0.8501785918944826,-12204.790516276893,-0.668071203763225,-10333.76733479184,51,0,-0.5679534812709656,-9176.30231539588,-0.554773863624972,-8676.867989479904,-1.142968487586566,-0.09024936425804271,47.05882352941176,-0.31775614331720203,0.2501973379537634,-6639.999999999997,2536.302315395882,2026-05,1353.0053163690052,-10529.307631764885
EXT_R2,EXT_R1,2024,5,-0.19597280845071335,-0.0625011504246577,40.0,-305.9619153499891,0.7712172137720895,0.7251358256170208,-2.342054908609989,-641.9572504499981,5,5,,,-0.29594926759400664,-428.3063306999818,5,0,-0.19597280845071335,-305.9619153499891,-0.21952302939289936,-365.9013306499939,-2.1102218196501017,1.1441932116803633,60.0,-0.0029182574160913077,0.193054551034622,-69.9999999999967,235.9619153499924,2024-10,542.0184004499996,-847.9803157999887
EXT_R2,EXT_R1,2025,3,-5.2321104116038315,-3.200081339138703,0.0,-6307.08100789298,0.0,0.0,-10.155278745951652,-6307.08100789298,3,3,,,-5.3346080413209584,-6427.117161785979,3,0,-5.2321104116038315,-6307.08100789298,-3.969794415159459,-5228.201305598981,-10.155278745951652,-2.34097114972114,0.0,-5.044622757201286,0.18748765440254575,-6089.999999999996,217.0810078929842,2025-07,-545.6803749999976,-5761.400632892983
EXT_R2,EXT_R1,2026,7,-0.4009257234376275,-0.7940696593006437,28.57142857142857,-1674.2444892029616,0.4981962371287934,0.5185508250678484,-1.898432858748584,-2884.8135938849796,6,7,-1.740898859456393,-2231.6810138999836,-0.5010116033593801,-2112.2501364059376,7,0,-0.4009257234376275,-1674.2444892029616,-0.4546875489967893,-1814.084178380991,-1.1756898406625522,0.602273205435887,28.57142857142857,-0.22172760432220828,0.1791981191154191,-890.0000000000007,784.244489202961,2026-05,1353.0053163690052,-3027.249805571967
EXT_R4,EXT_R3,old_2020_2023,56,0.03174983302844646,-0.021187357137709903,50.0,461.0727326500761,1.0558617348284054,1.103561416096513,-4.015276999498484,-2478.557839949966,43,56,-0.2974637124796257,-2122.8089862999277,-0.06804840562840112,-300.96643469990886,56,0,0.03174983302844646,461.0727326500761,0.07081871878927137,830.1543995001,-0.39700553890139384,0.5313132884098173,57.14285714285714,0.3070910439605883,0.2753412109321419,2529.999999999996,2068.92726734992,2020-03,1425.4392825500042,-964.3665498999281
EXT_R4,EXT_R3,primary,27,-0.6674971183377194,-0.7940696593006437,37.03703703703704,-8368.400409609898,0.5517111676075015,0.4970176707792741,-10.155278745951652,-12000.195521631937,23,27,-1.584704316932623,-14864.257628313895,-0.7677123316293554,-9525.437351219834,27,0,-0.6674971183377194,-8368.400409609898,-0.512218176570134,-5241.968261682927,-1.8584535136991034,0.3488520270526391,44.44444444444444,-0.48034475425592155,0.18715236408179792,-6249.999999999995,2118.4004096099025,2026-07,2143.4973343020074,-10511.897743911904
EXT_R4,EXT_R3,full_2020,83,-0.19571604271717377,-0.151950621175895,45.78313253012048,-7907.3276769598215,0.7744803689778881,0.6250626506433199,-10.155278745951652,-13604.638799931881,66,83,-0.5145267585263883,-15074.246711513824,-0.2956499237250971,-9826.403785919743,83,0,-0.19571604271717377,-7907.3276769598215,-0.11884388572523395,-4411.813862182826,-0.6799998645026893,0.27514280756694587,53.01204819277109,0.05093723008292845,0.24665327280010227,-3720.0,4187.327676959822,2026-07,2143.4973343020074,-10050.82501126183
EXT_R4,EXT_R3,2024,9,0.39653847859772756,0.773589759713248,55.55555555555556,727.9892182500205,1.423221153097699,1.3227570398698143,-4.149635390301478,-1784.3518733999952,7,9,-2.1081450450065846,-2255.5331977999895,0.296858349749258,509.76893650002626,9,0,0.39653847859772756,727.9892182500205,0.18898957080013837,388.3325315500112,-1.525666077972051,1.6580960777439295,66.66666666666666,0.589736405692144,0.19319792709441658,1150.0000000000025,422.01078174998156,2024-11,1203.2773364999998,-475.28811824997933
