id,date,stage,open,close,rt_cash,rt_pct,pt_cash,pt_pct,clv,vr,previous_intraday,previous_SSE,gap
BASE_HV,2019-02-25,U,14.45,15.16,-749.5438785500003,-5.1871548688581335,669.7464835500033,4.634923761591718,0.9795918367346943,1.869895051731344,3.223443223443212,1.9051159586031208,2.5550035486160416
BASE_HV,2019-03-07,U,16.75,17.19,-484.0510271999975,-2.8898568788059555,395.5091972000061,2.361248938507499,0.8731343283582077,2.036493210970627,7.524115755626992,1.5667696708123735,0.17942583732057926
BASE_HV,2019-04-17,U,16.61,17.91,-1344.206901500002,-8.092756782059013,1254.493761499998,7.552641550270909,0.9500000000000027,1.6866520472946394,5.167958656330751,2.385654666487924,2.0270270270270174
BASE_HV,2019-04-18,U,18.4,19.61,-1257.775906050001,-6.835738619836961,1161.0147110500027,6.309862560054362,1.0,3.785537845019896,7.826610475617102,0.2925992370905073,2.7359017308765887
BASE_HV,2019-08-16,U,14.25,14.36,-148.83397554999848,-1.0444489512280597,71.05608055000152,0.4986391617543966,0.9238095238095236,1.9490775905014188,7.12143928035982,0.2450413220198122,-0.2799160251924393
BASE_HV,2019-12-16,U,18.82,19.15,-378.17529164999695,-2.009433005579155,281.4948766499994,1.495721980074386,0.9166666666666684,2.0618281530575033,5.462653288740249,1.7826949155913985,-0.5285412262156508
BASE_HV,2020-02-24,U,19.75,20.14,-440.0840269499961,-2.2282735541771954,339.5261719500039,1.7191198579747031,0.924528301886794,1.7081008811437595,4.981253347616499,0.3140104430335855,0.7653061224489832
BASE_HV,2020-07-03,U,15.65,15.91,-301.7377762999988,-1.928036909265168,218.002356300003,1.3929863022364408,0.8599999999999994,1.7654930016432333,1.7601043024771723,2.1344582137164725,0.2562459961563235
BASE_HV,2021-01-13,C,14.48,15.18,-739.5993634999982,-5.107730410911589,659.7009935000019,4.555946087707196,0.9583333333333343,2.0391632170430585,1.8881118881118875,2.1758784615411697,-0.6177076183939589
BASE_HV,2021-01-14,C,15.15,15.67,-560.8606275999962,-3.702050347194694,478.619637600002,3.159205528712884,0.833333333333333,3.271891405045969,4.834254143646399,-0.2684642509604651,-0.19762845849802257
BASE_HV,2021-03-31,C,14.3,14.37,-108.91455034999731,-0.7616402122377435,31.015485349999054,0.2168915059440493,0.8904109589041093,2.418337865811784,4.512372634643369,0.6223859965712286,-0.41782729805013297
BASE_HV,2021-08-03,C,11.85,11.83,-13.920874900000143,-0.1174757375527438,-53.90088509999833,-0.4548597898734036,0.8289473684210539,1.9977000262645195,5.258467023172897,1.9700017431195205,0.3386960203217493
BASE_HV,2021-10-11,U,12.12,12.13,-44.48144005000182,-0.367008581270642,-24.491434949998183,-0.2020745457920642,0.869565217391303,1.8037025103459339,3.236797274275971,0.6726086908269036,0.0
