id,window,timing,n,down_pct,baseline_down_pct,lift_pp,down_ci_low,down_ci_high,lift_ci_low,lift_ci_high,net_RT_win_pct,net_RT_mean_pct,net_RT_cash,mean_net_winner_pct,mean_net_loser_pct,mean_pct,median_pct,win_pct,cash,pf_pct,pf_cash,worst_pct,mdd_cash,clusters,episodes,delete5_pct,delete5_cash,double_slip_pct,double_slip_cash,matched_n,excluded_n,matched_open_pct,matched_open_cash,delayed_pct,delayed_cash,month_ci_low,month_ci_high,gross_mean_pct,cost_drag_pct,gross_cash,cost_cash,largest_month,largest_month_cash,delete_largest_month_cash
BASE_HV,old_2020_2023,previous_close,32,46.875,49.27835051546392,-2.40335051546392,30.0,65.21739130434783,-18.335166081063328,14.516783664828118,43.75,-0.7641664093164238,-3066.604196849944,1.4504892326560628,-2.4866763530728027,-0.7641664093164238,-0.4449616441112503,43.75,-3066.604196849944,0.4536811920344012,0.5021341859074554,-10.90774674562256,-4091.7942350999538,21,30,-1.4312451445328607,-5321.104924149959,-0.8643623314630782,-3509.716893699947,32,0,-0.7641664093164238,-3066.604196849944,-0.6258811387003977,-2417.815253599938,-1.418425047275103,0.06439365215952496,-0.4887144061649813,0.2754520031514426,-1869.999999999996,1196.6041968499487,2020-01,448.8552525000037,-3515.4594493499476
BASE_HV,primary,previous_close,30,70.0,48.1651376146789,21.834862385321095,54.282738095238095,86.21081504702191,5.838195674889826,38.05966918854421,66.66666666666666,1.354564401329552,13849.687084720164,2.9263481828319473,-1.7890031616752389,1.354564401329552,1.113218706524942,66.66666666666666,13849.687084720164,3.2714846407445006,3.1814857136252335,-4.650157583560376,-2839.1262382439963,19,28,0.5347900763287501,2551.566542496102,1.255363035354568,12862.841381440154,30,0,1.354564401329552,13849.687084720164,1.1796646852770418,10952.848116776124,0.47013511924165946,2.5259664227837426,1.5472059452855078,0.19264154395595554,15710.000000000011,1860.3129152798497,2026-05,5270.984852580012,8578.702232140153
BASE_HV,full_2020,previous_close,62,58.06451612903226,48.830049261083744,9.234466867948521,46.478873239436616,70.91055718475073,-2.300870705751968,21.58417717226784,54.83870967741935,0.26102591841550005,10783.08288787022,2.318641556288936,-2.2375073561451013,0.26102591841550005,0.295491244610784,54.83870967741935,10783.08288787022,1.2583168992130311,1.862078341835847,-10.90774674562256,-4091.7942350999538,40,58,-0.19444865245450546,-515.0376543538432,0.1613112331261055,9353.124487740206,62,0,0.26102591841550005,10783.08288787022,0.24777006644997612,8535.032863176186,-0.47504966665255793,1.0507149044215451,0.4964083445368683,0.23538242612136817,13840.000000000015,3056.9171121297986,2026-05,5270.984852580012,5512.098035290208
BASE_HV,2024,previous_close,13,76.92307692307693,52.892561983471076,24.03051493960585,55.55555555555556,100.0,-2.0291972605446076,47.81004387120777,69.23076923076923,1.782246611905233,5603.589438350047,3.442898938881226,-1.9542211237907519,1.782246611905233,1.151360221667406,69.23076923076923,5603.589438350047,3.963994922670899,4.733812323483137,-4.650157583560376,-1076.0769723999938,9,12,-0.10852971940334144,-247.17178704997264,1.6832617673302666,5317.5167767000485,13,0,1.782246611905233,5603.589438350047,1.5620791532442728,4494.71025530004,0.34703046650253233,3.34460989489572,1.9802910471581234,0.19804443525289053,6170.000000000011,566.4105616499633,2024-10,1596.657661000006,4006.931777350041
BASE_HV,2025,previous_close,10,70.0,44.03292181069959,25.96707818930041,33.33333333333333,100.0,-8.060838077600204,55.37190082644627,70.0,1.0822469503548047,3560.1403282010556,2.1093674385610988,-1.314367522126548,1.0822469503548047,1.0340051469048963,70.0,3560.1403282010556,3.744658380389199,5.290284091560704,-2.34097114972114,-545.6803749999976,5,9,-0.48835416238569423,-471.758013799996,0.9829109156655853,3296.3719264020347,10,0,1.0822469503548047,3560.1403282010556,0.6766728762154687,1192.844688141053,-0.1297935150825813,2.8009248138408047,1.2778848232719433,0.19563787291713833,4070.0000000000036,509.8596717989483,2025-01,1820.518499550012,1739.6218286510436
BASE_HV,2026,previous_close,7,57.14285714285714,47.337278106508876,9.805579036348266,25.0,100.0,-21.055078822707152,52.07559458778048,57.14285714285714,0.9493223687957839,4685.95731816906,3.1938252841950563,-2.0433481850699127,0.9493223687957839,1.0750771913824777,57.14285714285714,4685.95731816906,2.0840470279980083,2.1661956232784583,-4.331237586947363,-2839.1262382439963,5,7,-2.957301223555783,-3899.664021581979,0.8499112755268177,4248.95267833807,7,0,0.9493223687957839,4685.95731816906,1.1880261148544318,5265.29317333503,-1.614354762811361,4.641632373677645,1.1276495018271706,0.17832713303138667,5469.999999999998,784.0426818309381,2026-05,5270.984852580012,-585.0275344109514
EXT_R1,old_2020_2023,after_auction,50,54.0,49.27835051546392,4.7216494845360835,41.86046511627907,65.46291866028703,-6.633359001198812,15.546654798991213,52.0,-0.4633945048417061,-4892.945184399943,1.1688074820897394,-2.2316133240174385,-0.4633945048417061,0.0764232821360146,52.0,-4892.945184399943,0.5673958350982328,0.5106141942258636,-8.246846366530596,-5838.889502449956,37,50,-0.8228537780236909,-7496.499318599942,-0.563445312915421,-5664.0019687999265,50,0,-0.4633945048417061,-4892.945184399943,-0.43153012457384277,-5372.4655042999375,-1.081705085771762,0.047066874977217,-0.19661418129371477,0.2667803235479913,-2880.0000000000064,2012.9451843999377,2021-02,362.93118720000405,-5255.876371599948
EXT_R1,primary,after_auction,62,58.06451612903226,48.1651376146789,9.899378514353362,44.26150693568726,71.93157894736841,-3.239039738981335,23.276408774918274,54.83870967741935,-0.09271175530884493,10504.511981545325,2.6751320113604065,-3.4536649005500784,-0.09271175530884493,0.5977886292648609,54.83870967741935,10504.511981545325,0.9405587046693411,1.3001481370824135,-6.850463732622584,-11380.47531131281,38,55,-0.6526528422197706,-11174.765815345727,-0.19263795469086206,8071.258709090297,62,0,-0.09271175530884493,10504.511981545325,-0.24603406753059553,6039.472138285273,-1.2098255848840405,1.0086495775555564,0.09754453808314019,0.1902562933919853,15010.000000000016,4505.488018454691,2026-07,11684.290295259034,-1179.7783137137085
EXT_R1,full_2020,after_auction,112,56.25,48.830049261083744,7.419950738916259,47.168450653120466,65.30713275409173,-1.4977142551114269,15.807222518347068,53.57142857142857,-0.25819512563601515,5611.566797145382,2.022391382009784,-2.889641095996553,-0.25819512563601515,0.14502201861615086,53.57142857142857,5611.566797145382,0.807549602245268,1.124712866395523,-8.246846366530596,-16531.20014941275,75,105,-0.5642143668094601,-16067.710999745665,-0.3581769538982545,2407.256740290369,112,0,-0.25819512563601515,5611.566797145382,-0.32884480728204524,667.0066339853352,-0.9405949387189315,0.4028843213000394,-0.033776318781527155,0.22441880685448795,12130.000000000011,6518.433202854629,2026-07,11684.290295259034,-6072.723498113652
EXT_R1,2024,after_auction,22,50.0,52.892561983471076,-2.892561983471076,28.57142857142857,72.72727272727273,-23.500879051807786,18.727055316884208,45.45454545454545,-1.1170601882093512,-4347.693104399936,2.2303551530871926,-3.9065729726231386,-1.1170601882093512,-0.17000676769133893,45.45454545454545,-4347.693104399936,0.47576976220959133,0.5613645202319709,-6.850463732622584,-6650.557636699985,13,17,-2.393774130922523,-8589.102471849948,-1.217494243783856,-4840.110408799931,22,0,-1.1170601882093512,-4347.693104399936,-1.0763756582519668,-4527.511350299932,-2.967380361360034,0.6778031179307377,-0.9181019679907046,0.1989582202186468,-3379.9999999999977,967.6931043999376,2024-11,1304.5090272500026,-5652.202131649939
