id,date,opening_cash,missing0935,missing0945,missing1000
EXT_R3,2019-09-19,-79.20217519999935,True,True,True
EXT_R4,2018-06-11,-54.045294999994034,True,True,True
EXT_R4,2018-07-10,114.7201557999997,True,True,True
EXT_R4,2018-08-14,178.34546610000285,True,True,True
EXT_R4,2018-10-22,-984.1126547499993,True,True,True
EXT_R4,2018-10-26,-24.430849949999345,True,True,True
EXT_R4,2018-11-16,13.953755250003418,True,True,True
EXT_R4,2018-11-29,366.25273199999833,True,True,True
EXT_R4,2019-01-07,-13.7391199,True,True,True
EXT_R4,2019-01-14,75.39800555000116,True,True,True
EXT_R4,2019-01-16,145.25195090000088,True,True,True
EXT_R4,2019-02-12,-284.94715624999907,True,True,True
EXT_R4,2019-02-13,-1226.052605949998,True,True,True
EXT_R4,2019-02-14,401.3455522000037,True,True,True
EXT_R4,2019-02-19,11.813085250003924,True,True,True
EXT_R4,2019-02-25,-749.5438785500003,True,True,True
EXT_R4,2019-02-26,39.38479040000422,True,True,True
EXT_R4,2019-03-01,89.34970565000138,True,True,True
EXT_R4,2019-03-07,-484.0510271999975,True,True,True
EXT_R4,2019-03-12,276.8414516000017,True,True,True
EXT_R4,2019-03-19,-60.78738009999818,True,True,True
EXT_R4,2019-04-01,-400.8800017999974,True,True,True
EXT_R4,2019-04-02,-391.80387175000095,True,True,True
EXT_R4,2019-04-03,-92.39808524999484,True,True,True
EXT_R4,2019-04-17,-1344.206901500002,True,True,True
EXT_R4,2019-04-18,-1257.775906050001,True,True,True
EXT_R4,2019-05-22,142.72757590000452,True,True,True
EXT_R4,2019-06-27,-24.552019949997018,True,True,True
EXT_R4,2019-07-02,162.8387510000022,True,True,True
EXT_R4,2019-07-24,-595.5293528000007,True,True,True
EXT_R4,2019-08-14,92.15681065000264,True,True,True
EXT_R4,2019-08-30,220.9104363000017,True,True,True
EXT_R4,2019-09-03,-519.5881373999968,True,True,True
EXT_R4,2019-09-05,-30.71149494999629,True,True,True
EXT_R4,2019-09-19,-79.20217519999935,True,True,True
EXT_R4,2019-10-11,-149.76294554999578,True,True,True
EXT_R4,2019-10-18,-10.802269849998982,True,True,True
EXT_R4,2019-11-05,-131.97419544999775,True,True,True
EXT_R4,2019-12-31,-695.9150932499961,True,True,True
EXT_R5,2018-07-10,114.7201557999997,True,True,True
EXT_R5,2018-10-22,-984.1126547499993,True,True,True
EXT_R5,2018-10-26,-24.430849949999345,True,True,True
EXT_R5,2018-11-29,366.25273199999833,True,True,True
EXT_R5,2019-01-07,-13.7391199,True,True,True
EXT_R5,2019-01-14,75.39800555000116,True,True,True
EXT_R5,2019-02-12,-284.94715624999907,True,True,True
EXT_R5,2019-02-13,-1226.052605949998,True,True,True
EXT_R5,2019-02-14,401.3455522000037,True,True,True
EXT_R5,2019-02-25,-749.5438785500003,True,True,True
EXT_R5,2019-03-12,276.8414516000017,True,True,True
EXT_R5,2019-03-19,-60.78738009999818,True,True,True
EXT_R5,2019-04-01,-400.8800017999974,True,True,True
EXT_R5,2019-04-02,-391.80387175000095,True,True,True
EXT_R5,2019-04-17,-1344.206901500002,True,True,True
EXT_R5,2019-04-18,-1257.775906050001,True,True,True
EXT_R5,2019-05-22,142.72757590000452,True,True,True
EXT_R5,2019-07-02,162.8387510000022,True,True,True
EXT_R5,2019-07-24,-595.5293528000007,True,True,True
EXT_R5,2019-09-05,-30.71149494999629,True,True,True
EXT_R5,2019-09-19,-79.20217519999935,True,True,True
EXT_R5,2019-10-11,-149.76294554999578,True,True,True
