id,window,time,slip,slip_bps,full_signal_n,excluded,n,mean_pct,median_pct,win_pct,cash,pf_pct,pf_cash,worst_pct,mdd_cash,clusters
BASE_HV,old_2020_2023,open,0.0005,5.0,32,0,32,-0.7641664093164238,-0.4449616441112503,43.75,-3066.6041968499444,0.45368119203440127,0.5021341859074554,-10.907746745622559,-4091.7942350999538,21
BASE_HV,old_2020_2023,open,0.001,10.0,32,0,32,-0.8643623314630782,-0.5449857478508013,43.75,-3509.716893699947,0.4061802883954393,0.4518742853612656,-11.012998355058363,-4479.471070199956,21
BASE_HV,old_2020_2023,09:35,0.0005,5.0,32,0,32,-0.6258811387003977,-0.23766269671637597,37.5,-2417.815253599938,0.46900185945867784,0.5270645975098738,-11.393393878404662,-3123.2584452499486,21
BASE_HV,old_2020_2023,09:35,0.001,10.0,32,0,32,-0.7261462380709724,-0.3375526060482362,34.375,-2861.252507199939,0.41590410550858975,0.46979377072957135,-11.498402542801543,-3511.4197904999505,21
BASE_HV,old_2020_2023,09:45,0.0005,5.0,32,0,32,-0.3099968268010304,-0.032996999311947585,50.0,-820.1904655999352,0.683578742290665,0.7978183617661679,-11.587652731517483,-1748.733191099971,21
BASE_HV,old_2020_2023,09:45,0.001,10.0,32,0,32,-0.4104199473381384,-0.13256890052539752,46.875,-1264.4269311999396,0.6021451621553255,0.7044555895899153,-11.692564217898815,-2004.4533653999467,21
BASE_HV,old_2020_2023,10:00,0.0005,5.0,32,0,32,-0.37060810437747504,-0.20180176528301838,40.625,-1129.672547149951,0.6735549837805352,0.7673223257070455,-10.907746745622559,-2517.5708799499835,21
BASE_HV,old_2020_2023,10:00,0.001,10.0,32,0,32,-0.47100090411539364,-0.30165477459935786,40.625,-1573.7541942999474,0.6058964951828729,0.6920200312481002,-11.012998355058363,-2704.932659899978,21
BASE_HV,primary,open,0.0005,5.0,30,0,30,1.354564401329552,1.113218706524942,66.66666666666666,13849.687084720164,3.2714846407445006,3.1814857136252335,-4.650157583560376,-2839.1262382439963,19
BASE_HV,primary,open,0.001,10.0,30,0,30,1.255363035354568,1.0138936038355406,66.66666666666666,12862.841381440154,2.992877526886414,2.9245643852319283,-4.752357855585816,-2906.0200484879933,19
BASE_HV,primary,09:35,0.0005,5.0,30,0,30,1.1796646852770418,1.1972950827441924,66.66666666666666,10952.848116776124,3.505039365223493,2.8631970865817493,-4.483618200631569,-2939.011730513994,19
BASE_HV,primary,09:35,0.001,10.0,30,0,30,1.080550812906889,1.0977802662912186,66.66666666666666,9967.451557552156,3.1423205500706537,2.6013428721985212,-4.585592025977096,-3005.8555730279877,19
BASE_HV,primary,09:45,0.0005,5.0,30,0,30,1.144575604584683,1.1354106296824382,66.66666666666666,9634.409691763129,3.738846965731047,3.1866622736546084,-5.149199037011782,-1590.5575848690041,19
BASE_HV,primary,09:45,0.001,10.0,30,0,30,1.0454792855315345,1.035926770934861,66.66666666666666,8649.67268152616,3.3170308869052603,2.820166381430869,-5.2511496634877215,-1658.0759917379928,19
BASE_HV,primary,10:00,0.0005,5.0,30,0,30,0.9105029383651232,0.7612025778653002,70.0,6907.392300554153,3.5052794406909107,2.6500257377377774,-3.7428094863760077,-1270.924009604978,19
BASE_HV,primary,10:00,0.001,10.0,30,0,30,0.8115237141925241,0.6601833012026421,66.66666666666666,5924.019481108167,3.050050701485534,2.3069744214744694,-3.845463659400534,-1338.6023132099845,19
BASE_HV,full_2020,open,0.0005,5.0,62,0,62,0.26102591841550005,0.295491244610784,54.83870967741935,10783.08288787022,1.2583168992130311,1.862078341835847,-10.907746745622559,-4091.7942350999538,40
BASE_HV,full_2020,open,0.001,10.0,62,0,62,0.1613112331261055,0.19582879126877684,54.83870967741935,9353.124487740206,1.152745519495405,1.7147083031817067,-11.012998355058363,-4479.471070199956,40
