id,claimed_n,claimed_netwin,claimed_mean,claimed_cash,n,win_pct,mean_pct,cash
EXT_R1,22,63.6,1.0,15436,62,54.83870967741935,-0.09271175530884493,10504.511981545325
EXT_R2,28,57.1,0.73,14071,77,49.35064935064935,-0.3276727814321668,2217.224569099395
EXT_R3,26,57.7,0.88,14611,69,53.62318840579711,-0.3373469535026355,3720.8721643503704
EXT_R4,37,51.4,0.56,12521,96,48.95833333333333,-0.43020168736250275,-4647.528245259524
EXT_R5,21,61.9,0.91,13579,60,51.66666666666667,-0.22127497592121811,6651.544807229296
