date,close,next_open,model_exit,actual_exit,exit_clock,net,cash,reason
2023-10-20,16.17,14.55,13.31,2023-10-24,09:30,-17.868395174087052,-2891.6864868,opening_exit
2025-04-03,19.05,17.15,16.29,2025-04-08,09:30,-14.666698421646874,-2796.1643412999965,opening_exit
