year,enabled,train_n,last_training_exit,node,rule,bad_rate,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash,bad_n,good_n,delete_worst5,delete_both5
2022,True,464,2021-12-31,4,prev_vol20 > 3.18282378,0.36363636363636365,55,-0.5574252383482918,-0.6304640150438122,34.54545454545455,-5536.605292099911,0.4079661255764673,0.356304385835776,-5.966708952003329,-4.7615295912512146,-5536.605292099908,5,5,1,3,1454.7202921000003,-0.2900687988953358,-0.6302581319238991,-0.8581416516947082,-1.077384170645955,-7302.688896799923,20,8,-0.22739282178919004,-0.5248519014453079
2023,True,706,2022-12-30,4,prev_vol20 > 3.18282378,0.36363636363636365,55,-0.5574252383482918,-0.6304640150438122,34.54545454545455,-5536.605292099911,0.4079661255764673,0.356304385835776,-5.966708952003329,-4.7615295912512146,-5536.605292099908,5,5,1,3,1454.7202921000003,-0.2900687988953358,-0.6302581319238991,-0.8581416516947082,-1.077384170645955,-7302.688896799923,20,8,-0.22739282178919004,-0.5248519014453079
2024,True,935,2023-12-29,6,prev_vol20 > 3.40510952 AND prev_intraday > 0.18589817,0.4827586206896552,87,-0.7212563020567935,-0.9656692008355124,27.586206896551722,-12881.857432949857,0.3318651794289271,0.2966181060454976,-4.755861337887951,-3.743111599771299,-12917.288380799857,9,13,2,9,2400.6124329499994,-0.4716622861560208,-0.7898166532743878,-0.9601289792752029,-1.1142998076793735,-15740.030933449865,42,14,-0.5369968326839579,-0.7794158221001314
2025,True,1169,2024-12-31,6,prev_vol20 > 2.7901628 AND today_gap > 0.669313788,0.4909090909090909,110,-0.6941966260980841,-0.9883179203777115,30.0,-16097.93915179976,0.4285815122585354,0.4236568805644391,-6.670425540886715,-5.1076583380272425,-18254.83912224979,12,26,3,27,2640.2541518000003,-0.4694699108882411,-0.7904301288526107,-0.9980594478030401,-1.1759799501678687,-22256.710486199772,54,16,-0.47642432300362253,-0.784591670639103
2026,True,1401,2025-12-31,6,prev_vol20 > 2.7901628 AND prev_r20 > 46.7172432,0.6326530612244898,49,-0.8793341354947758,-1.2324599268847196,30.612244897959183,-14865.409446726844,0.3639996690770227,0.32959185092909854,-6.670425540886715,-4.525489005419509,-15225.320948726843,8,7,3,6,1574.099446727,-0.6671372833383648,-0.9805759165415818,-1.3046928703661598,-1.6665157809630795,-19827.55984890386,31,11,-0.5261830478600547,-0.9607991734028055
