route,entry,window,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash,bad_n,good_n,delete_worst5,delete_both5
risk,ON0,main2022,872,-0.13078352406757335,-0.20069675826101152,40.711009174311926,-13679.974773224461,0.7733435893723044,0.9160580916299341,-9.83232226178813,-3.6789330352300946,-17012.71464107591,13,53,5,6,24567.954773227,0.09873820507956126,-0.14219641498931496,-0.17909944739038244,-0.2080577338849276,-30942.856439873503,175,132,-0.09221004456045652,-0.14058247857825223
risk,ON0,recent2024,542,-0.06544542029547547,-0.10847667906620106,47.7859778597786,-6199.0982165248515,0.9044926300060333,0.9583576494737739,-9.83232226178813,-4.381614291715297,-15403.910409116681,8,33,3,2,18040.053216527,0.12515403575718864,-0.08363362163901904,-0.13448342199074045,-0.17790442240922488,-23461.979883173903,142,124,-0.0025592056743755642,-0.07165502491733025
exit,ON0,main2022,1103,-0.1139397015226744,-0.18712438488575428,42.883046237534,-11787.471299935825,0.8133742272769978,0.9421431948898041,-10.200745196903522,-4.179640049586899,-19171.17135733716,13,57,5,1,31017.966299939002,0.1143094564588588,-0.12990723065975934,-0.1631153458097795,-0.1868627154880368,-29673.21771222088,230,184,-0.07689174666363026,-0.12612286985937246
exit,ON0,recent2024,632,-0.06867606480069723,-0.10559792284344074,47.78481012658228,-5263.3779276864925,0.9032877728470299,0.9695168065447036,-10.200745196903522,-4.806407867788013,-15403.910409116681,9,33,3,1,20668.912927689,0.12206506714373931,-0.09143325283822072,-0.13503379719814299,-0.1722659722822093,-23044.69645947151,164,150,-0.006733470661872293,-0.07312669452441954
exit,WF_ENTRY,main2022,172,-0.47456060388546795,-0.22249255111776095,40.116279069767444,-15159.098111946645,0.41504136188592683,0.5064690193105038,-9.83232226178813,-5.58457742278626,-15234.407169646644,15,32,5,38,4583.303111947,-0.22352456005684754,-0.49720669505403087,-0.5767460992387015,-0.6543202451654619,-20235.938012582665,45,20,-0.27401933922604815,-0.3731691626871156
