entry,window,variant,base_n,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash,bad_n,good_n,delete_worst5,delete_both5
ON0,2024,kept,234,188,-0.412497930532292,-0.47836829971781414,30.851063829787233,-17070.087417199567,0.5348377918759402,0.5365601832535524,-7.757659565589339,-4.988511423653047,-17070.087417199575,12.0,12.0,1.0,2.0,4003.6474172000003,-0.21328198701409384,-0.4450868903405369,-0.5468176590955339,-0.6418503096067841,-22197.396346499576,57.0,34.0,-0.2615229900032093,-0.39537487553370304
ON0,2025,base,232,232,-0.2782098874169213,-0.2219690954604448,37.93103448275862,-34313.27967337611,0.6495850697541456,0.585330084271814,-10.16030222072976,-4.732265498090448,-36462.13404206919,8.0,12.0,1.0,1.0,7461.429673377,-0.08748831014603917,-0.32003602664163144,-0.42306896286407947,-0.5147835319809035,-50154.78738511013,65.0,39.0,-0.14396967566964877,-0.2890679147136511
ON0,2025,removed,232,44,-0.41344498334237945,-0.20155774440519775,36.36363636363637,-9722.077203887782,0.526535537893704,0.5054878759645278,-4.553869205938362,-3.6897937112294046,-11683.493603180896,8.0,11.0,1.0,14.0,1601.7122038880004,-0.22657256597944528,-0.5578545205113119,-0.8317783747561569,-1.0893141955579222,-18020.616355993818,15.0,7.0,-0.04430260984810543,-0.46986997448533924
ON0,2025,kept,232,188,-0.24655912028543112,-0.23234725807141698,38.297872340425535,-24591.20246948833,0.6820180277608127,0.6102108985031736,-10.16030222072976,-4.881235878104841,-25904.24780768634,7.0,12.0,1.0,1.0,5859.717469489,-0.054936675802050514,-0.29805744859439653,-0.4178844139255991,-0.519605088395161,-38224.046573101354,50.0,32.0,-0.08162112876840294,-0.2531258410075355
ON0,2026,base,166,166,-0.28361228171425884,-0.20376974525382552,41.566265060240966,-30620.41617028299,0.6564794075142989,0.6437264855941474,-5.664649953627819,-3.6369271571483828,-30620.416170283,6.0,9.0,1.0,1.0,8159.296170284,-0.10486975163229557,-0.3218046595173827,-0.4210405200598343,-0.5123091460333372,-43734.76073527299,58.0,37.0,-0.16480649431722447,-0.30283160609063786
ON0,2026,removed,166,0,,,,,,,,,,,,,,,,,,,,,,,
ON0,2026,kept,166,166,-0.28361228171425884,-0.20376974525382552,41.566265060240966,-30620.41617028299,0.6564794075142989,0.6437264855941474,-5.664649953627819,-3.6369271571483828,-30620.416170283,6.0,9.0,1.0,1.0,8159.296170284,-0.10486975163229557,-0.3218046595173827,-0.4210405200598343,-0.5123091460333372,-43734.76073527299,58.0,37.0,-0.16480649431722447,-0.30283160609063786
A,main2022,base,47,47,0.19754239758400735,-0.0779437120711502,48.93617021276596,2097.0722519731917,1.270786919159989,1.1598779724738981,-4.66817809846285,-3.254557428369022,-3463.31083533296,4.0,28.0,4.0,35.0,1614.2327480269998,0.3963427207790509,-0.002155121457450854,-0.32525222722718655,-0.597702336202666,-5535.203765834855,16.0,17.0,0.5610091748115306,0.01668375978632709
A,main2022,removed,47,13,-0.26797139025481514,0.0450707742694162,53.84615384615385,-393.44680077496355,0.672299973951434,0.8745085473730546,-4.66817809846285,-4.66817809846285,-1715.3348723339786,2.0,11.0,3.0,12.0,405.6018007750001,-0.04741252140418705,-0.4423298808498259,-1.2325026688399103,-2.822413811015647,-2979.27472635999,4.0,4.0,0.8836209651861583,0.23085814802752677
A,main2022,kept,47,34,0.3755329635223806,-0.1912886874391693,47.05882352941176,2490.5190527481564,1.5397289984330362,1.2495145671831467,-2.6242498179121085,-2.4883181005398782,-3833.59136472896,3.0,21.0,3.0,26.0,1208.6309472520002,0.566013842790289,0.10256037837181377,-0.3509298438010084,-0.7594318626324371,-4975.174618200878,12.0,13.0,0.8125775946039817,0.025819333896886953
A,early2022_2023,base,8,8,-0.7754805717868545,-0.4528221494092094,37.5,-1298.948592099991,0.23965925128817192,0.2514875367684525,-4.66817809846285,-4.66817809846285,-1556.5654690999936,2.0,6.0,1.0,7.0,222.28859210000002,-0.5344557921426353,-1.0487926482781436,-2.4178836131074957,,-1552.3780794999952,3.0,1.0,0.6518168546153569,
A,early2022_2023,removed,8,8,-0.7754805717868545,-0.4528221494092094,37.5,-1298.948592099991,0.23965925128817192,0.2514875367684525,-4.66817809846285,-4.66817809846285,-1556.5654690999936,2.0,6.0,1.0,7.0,222.28859210000002,-0.5344557921426353,-1.0487926482781436,-2.4178836131074957,,-1552.3780794999952,3.0,1.0,0.6518168546153569,
A,early2022_2023,kept,8,0,,,,,,,,,,,,,,,,,,,,,,,
A,recent2024,base,39,39,0.3971368528395686,0.1508987899899679,51.28205128205128,3396.020844073185,1.5927918307681916,1.2983851852973438,-2.6242498179121085,-2.547747093322108,-3463.3108353329594,3.0,22.0,3.0,28.0,1391.944155927,0.5872757490706788,0.16065023650663407,-0.2193161461543236,-0.5486600643173726,-4236.255173734865,13.0,16.0,0.7946434637511011,0.14044108750162945
A,recent2024,removed,39,5,0.5440433001964478,1.236505767086092,80.0,905.5017913250276,2.100747678133453,1.6468450088657842,-2.4712443687321075,-2.4712443687321075,-1399.8744350099992,1.0,5.0,2.0,5.0,183.313208675,0.7318567117773301,0.2239715010242312,,,,1.0,3.0,,
A,recent2024,kept,39,34,0.3755329635223806,-0.1912886874391693,47.05882352941176,2490.5190527481564,1.5397289984330362,1.2495145671831467,-2.6242498179121085,-2.4883181005398782,-3833.59136472896,3.0,21.0,3.0,26.0,1208.6309472520002,0.566013842790289,0.10256037837181377,-0.3509298438010084,-0.7594318626324371,-4975.174618200878,12.0,13.0,0.8125775946039817,0.025819333896886953
A,2022,base,0,0,,,,,,,,,,,,,,,,,,,,,,,
A,2022,removed,0,0,,,,,,,,,,,,,,,,,,,,,,,
A,2022,kept,0,0,,,,,,,,,,,,,,,,,,,,,,,
A,2023,base,8,8,-0.7754805717868545,-0.4528221494092094,37.5,-1298.948592099991,0.23965925128817192,0.2514875367684525,-4.66817809846285,-4.66817809846285,-1556.5654690999936,2.0,6.0,1.0,7.0,222.28859210000002,-0.5344557921426353,-1.0487926482781436,-2.4178836131074957,,-1552.3780794999952,3.0,1.0,0.6518168546153569,
A,2023,removed,8,8,-0.7754805717868545,-0.4528221494092094,37.5,-1298.948592099991,0.23965925128817192,0.2514875367684525,-4.66817809846285,-4.66817809846285,-1556.5654690999936,2.0,6.0,1.0,7.0,222.28859210000002,-0.5344557921426353,-1.0487926482781436,-2.4178836131074957,,-1552.3780794999952,3.0,1.0,0.6518168546153569,
A,2023,kept,8,0,,,,,,,,,,,,,,,,,,,,,,,
A,2024,base,15,15,0.12016228732250891,-0.1936417848267005,40.0,227.0720643500401,1.1725654537281631,1.1004779690992512,-1.9198259496211645,-1.9198259496211645,-746.5720230499912,3.0,10.0,1.0,12.0,318.72293565,0.32086724544265977,-0.10342917685077402,-0.9236117411821111,-1.6168156512884249,-1967.055390149976,6.0,6.0,0.9886512566279759,-0.23040783107579715
A,2024,removed,15,1,1.405177223858626,1.405177223858626,100.0,324.5505643500042,,,1.405177223858626,1.405177223858626,0.0,0.0,1.0,1.0,1.0,22.18443565,1.6031195840554568,,,,,0.0,1.0,,
A,2024,kept,15,14,0.02837550614135769,-0.5682879663173719,35.714285714285715,-97.47849999996416,1.0380334800078626,0.9568663730658683,-1.9198259496211645,-1.9198259496211645,-746.5720230499912,3.0,10.0,1.0,11.0,296.5385,0.22927779268460283,-0.2194758230591894,-1.160547922797618,-1.719210982789736,-2259.9189293499785,6.0,5.0,0.9423705936023481,-0.5902132621841091
A,2025,base,14,14,0.8670477025017671,0.6479844150364173,64.28571428571429,1759.0782841420817,2.220138006828676,1.3058671446494248,-2.6242498179121085,-2.6242498179121085,-3463.3108353329594,2.0,7.0,1.0,9.0,569.5567158580001,1.0535132523415798,0.21192612011797338,-0.8072476618983428,-2.4024286392932725,-4913.254182238947,4.0,6.0,2.4541411310287464,0.6708433467872237
A,2025,removed,14,4,0.32875981928090325,0.980976574485203,75.0,580.9512269750235,1.532136478999163,1.4150023833893886,-2.4712443687321075,-2.4712443687321075,-1399.8744350099992,1.0,4.0,1.0,4.0,161.12877302500002,0.5140409937077984,-0.16976373992056706,,,,1.0,2.0,,
A,2025,kept,14,10,1.0823628557901126,0.3607101190892441,60.0,1178.1270571670582,2.447520446842677,1.2707563537912263,-2.6242498179121085,-2.6242498179121085,-3150.6628998329734,3.0,6.0,1.0,8.0,408.427942833,1.269302155795092,0.16000003160111545,-1.4652918371023809,,-4250.711095262957,3.0,4.0,3.6300175486826065,
A,2026,base,10,10,0.15472351158808087,0.3117476282631355,50.0,1409.8704955810617,1.26982340536525,1.4183226742648773,-1.7359404431210887,-1.7359404431210887,-2193.42713347999,3.0,5.0,1.0,7.0,503.66450441899997,0.3341559999334466,-0.04582705017683317,-1.1468501880230688,,-3370.294230544975,3.0,4.0,1.4562972111992305,
A,2026,removed,10,0,,,,,,,,,,,,,,,,,,,,,,,
A,2026,kept,10,10,0.15472351158808087,0.3117476282631355,50.0,1409.8704955810617,1.26982340536525,1.4183226742648773,-1.7359404431210887,-1.7359404431210887,-2193.42713347999,3.0,5.0,1.0,7.0,503.66450441899997,0.3341559999334466,-0.04582705017683317,-1.1468501880230688,,-3370.294230544975,3.0,4.0,1.4562972111992305,
B,main2022,base,22,22,0.019708577448421413,0.17020873920652654,50.0,990.4470966360486,1.0419466850945256,1.4312698173759413,-4.66817809846285,-3.030688099423823,-1418.2081258999892,5.0,17.0,5.0,17.0,572.907903364,0.25090687456335425,-0.12032805137773984,-0.4380707660028702,-0.8302064352325321,-1690.1801573189625,3.0,4.0,0.539801009010424,0.1079854522719287
B,main2022,removed,22,5,-0.6594495834464309,0.3741847300717724,60.0,-726.777337399986,0.38564106361314054,0.3950079372118753,-4.66817809846285,-4.66817809846285,-1201.3006154999953,2.0,5.0,2.0,5.0,138.25733739999998,-0.43234890008440063,-1.1217573988057503,,,,1.0,1.0,,
B,main2022,kept,22,17,0.2194609777116133,-0.0337672516587193,47.05882352941176,1717.2244340360348,1.7507183589427722,2.5678366201995826,-1.3931981003847962,-1.3931981003847962,-622.6434367689872,5.0,12.0,5.0,13.0,434.65056596400007,0.45186445534210573,0.048147427393726155,-0.2963581782141104,-0.6909189725567471,-850.8776067689756,2.0,3.0,0.6844550971203188,0.13233234368243948
B,early2022_2023,base,10,10,-0.5960199103969169,-0.30483723540127233,30.0,-1028.9488734499841,0.2704751259004407,0.29927076644529566,-4.66817809846285,-4.66817809846285,-1418.2081258999892,5.0,8.0,2.0,9.0,235.46387345,-0.31877051351115854,-0.7944423091066687,-1.5737169552006256,,-1439.7189214499933,2.0,1.0,0.3816771344067916,
B,early2022_2023,removed,10,4,-0.9178581618259818,-0.09651811341596228,50.0,-812.0413630499905,0.31592118250329904,0.3240315100379688,-4.66817809846285,-4.66817809846285,-1201.3006154999953,2.0,4.0,1.0,4.0,116.35636305,-0.6831677895762973,-1.620404775098258,,,,1.0,1.0,,
B,early2022_2023,kept,10,6,-0.3814610761108737,-0.30483723540127233,16.666666666666664,-216.90751039999378,0.18345846171324662,0.18790621277852898,-1.3931981003847962,-1.3931981003847962,-267.09662579999474,5.0,4.0,2.0,5.0,119.10751040000001,-0.07583899613439933,-0.5606001285537718,-1.3931981003847962,,-128.44864549999986,1.0,0.0,0.5142341861036164,
B,recent2024,base,12,12,0.5328156506528702,0.44957823813318076,66.66666666666666,2019.395970086033,3.9509497173018993,3.4383358592964517,-1.0156774775951658,-1.0156774775951658,-622.6434367689872,2.0,9.0,3.0,8.0,337.44402991400005,0.725638031292115,0.3121190931851485,-0.12762099311890118,-0.9905064601330626,-548.7060707189772,1.0,3.0,1.1694701765618731,0.44957823813318076
B,recent2024,removed,12,1,0.3741847300717724,0.3741847300717724,100.0,85.26402565000451,,,0.3741847300717724,0.3741847300717724,0.0,0.0,1.0,1.0,1.0,21.90097435,0.5709266578831862,,,,,0.0,0.0,,
B,recent2024,kept,12,11,0.54723664343297,0.4833438152340625,63.63636363636363,1934.1319444360286,3.778250785680962,3.3353831277222072,-1.0156774775951658,-1.0156774775951658,-622.6434367689872,2.0,8.0,3.0,8.0,315.54305556400004,0.7397027016020175,0.3059125294964861,-0.21125528031734678,-1.0156774775951658,-633.9700963689818,1.0,3.0,1.2950797624834687,0.4833438152340625
B,2022,base,5,5,-0.5606001285537718,-0.4077741934973125,0.0,-267.09662579999474,0.0,0.0,-1.3931981003847962,-1.3931981003847962,-267.09662579999474,5.0,3.0,1.0,4.0,99.08662580000001,-0.2551093594638454,-0.6758779753463766,,,,1.0,0.0,,
B,2022,removed,5,0,,,,,,,,,,,,,,,,,,,,,,,
B,2022,kept,5,5,-0.5606001285537718,-0.4077741934973125,0.0,-267.09662579999474,0.0,0.0,-1.3931981003847962,-1.3931981003847962,-267.09662579999474,5.0,3.0,1.0,4.0,99.08662580000001,-0.2551093594638454,-0.6758779753463766,,,,1.0,0.0,,
B,2023,base,5,5,-0.6314396922400622,0.5057588266280797,60.0,-761.8522476499896,0.4117357453019557,0.3658104908795891,-4.66817809846285,-4.66817809846285,-1201.3006154999953,2.0,5.0,1.0,5.0,136.37724765,-0.3824316675584717,-1.0867450347977894,,,,1.0,1.0,,
B,2023,removed,5,4,-0.9178581618259818,-0.09651811341596228,50.0,-812.0413630499905,0.31592118250329904,0.3240315100379688,-4.66817809846285,-4.66817809846285,-1201.3006154999953,2.0,4.0,1.0,4.0,116.35636305,-0.6831677895762973,-1.620404775098258,,,,1.0,1.0,,
B,2023,kept,5,1,0.5142341861036164,0.5142341861036164,100.0,50.189115400000944,,,0.5142341861036164,0.5142341861036164,0.0,0.0,1.0,1.0,1.0,20.0208846,0.8205128205128309,,,,,0.0,0.0,,
B,2024,base,8,8,0.5304366520637145,0.3949986955520357,62.5,985.3250492500171,4.68675398771175,4.81423741234548,-0.9653354426709596,-0.9653354426709596,-221.9656731499963,2.0,6.0,1.0,5.0,177.57995075,0.7267392836987698,0.18328791910170117,-0.38367022685842556,,-258.3281905999956,0.0,2.0,1.5348355019936406,
B,2024,removed,8,1,0.3741847300717724,0.3741847300717724,100.0,85.26402565000451,,,0.3741847300717724,0.3741847300717724,0.0,0.0,1.0,1.0,1.0,21.90097435,0.5709266578831862,,,,,0.0,0.0,,
B,2024,kept,8,7,0.5527583552054206,0.4158126610322991,57.14285714285714,900.0610236000125,4.361661669815312,4.484176548868019,-0.9653354426709596,-0.9653354426709596,-221.9656731499963,2.0,5.0,1.0,5.0,155.67897639999998,0.7489982302438533,0.15147178394002261,-0.5586217144582787,,-249.76213829999662,0.0,2.0,2.0605813453734294,
B,2025,base,1,1,0.8393843196015758,0.8393843196015758,100.0,169.18018855000102,,,0.8393843196015758,0.8393843196015758,0.0,0.0,1.0,1.0,1.0,20.57481145,1.0427010923535374,,,,,0.0,0.0,,
B,2025,removed,1,0,,,,,,,,,,,,,,,,,,,,,,,
B,2025,kept,1,1,0.8393843196015758,0.8393843196015758,100.0,169.18018855000102,,,0.8393843196015758,0.8393843196015758,0.0,0.0,1.0,1.0,1.0,20.57481145,1.0427010923535374,,,,,0.0,0.0,,
B,2026,base,3,3,0.43697009057438313,0.5961247117435327,66.66666666666666,864.890732286015,2.290675731854378,2.5177303905193744,-1.0156774775951658,-1.0156774775951658,-569.8579521689919,1.0,2.0,1.0,2.0,139.289267714,0.6170136711872276,-0.20977638292581657,,,,1.0,1.0,,
B,2026,removed,3,0,,,,,,,,,,,,,,,,,,,,,,,
B,2026,kept,3,3,0.43697009057438313,0.5961247117435327,66.66666666666666,864.890732286015,2.290675731854378,2.5177303905193744,-1.0156774775951658,-1.0156774775951658,-569.8579521689919,1.0,2.0,1.0,2.0,139.289267714,0.6170136711872276,-0.20977638292581657,,,,1.0,1.0,,
C,main2022,base,61,61,0.47340314972002157,-0.2185907752017896,45.90163934426229,4443.762050097179,1.9149220652758,1.384230978024285,-3.084037157135793,-2.3144520839132072,-4045.735128670904,5.0,14.0,4.0,16.0,1720.312949903,0.6843291153880691,0.3248993976571705,0.000566711232467622,-0.22042248893606928,-3621.033555269847,15.0,21.0,0.7073342388769734,0.21107570731779177
C,main2022,removed,61,24,0.3254134879937562,-0.2263563593378048,41.66666666666667,-265.6577284399566,1.6336148474307557,0.9228658125381913,-2.4712443687321075,-2.0078008946850856,-2355.246879739981,4.0,8.0,3.0,7.0,591.30272844,0.5578178776001258,0.005898211409711618,-0.4401099010737631,-0.8804271174604166,-2845.9896473899635,5.0,8.0,0.8218103234490469,-0.03982969190855401
C,main2022,kept,61,37,0.5693964438127342,-0.1134401159076019,48.64864864864865,4709.419778537135,2.0951685536215754,1.5798891055218216,-3.084037157135793,-2.621103273141329,-3270.496705964984,3.0,11.0,4.0,14.0,1129.010221463,0.7663904588180863,0.3245566707661134,-0.07777292653433548,-0.42117062671207667,-3149.9992937649026,10.0,13.0,0.9567615338605365,0.2614802597543432
C,early2022_2023,base,24,24,0.5322151281129571,-0.0835397912890539,50.0,2004.6965969000394,2.481770680336024,2.4752490040066593,-1.4324280789310149,-1.3450409269693337,-630.7811722999886,5.0,5.0,1.0,4.0,504.45340310000006,0.7701569343509475,0.22169122718626896,-0.1788867767126673,-0.5975410263064285,-575.6353220499675,4.0,8.0,0.980567674329208,0.175626712857379
C,early2022_2023,removed,24,20,0.6418687345748539,-0.0856720801061609,50.0,2072.426414050028,2.758898989245907,2.87377918258296,-1.4324280789310149,-1.4324280789310149,-410.65911139999344,4.0,5.0,1.0,4.0,431.01858595,0.8842993485217526,0.2717426232668575,-0.2223091427169715,-0.7298528664798906,-507.9055048999782,3.0,8.0,1.2318073952561093,0.23050990965899923
C,early2022_2023,kept,24,4,-0.016052904196526746,0.05402726954203435,50.0,-67.72981714998916,0.9514164363259418,0.7321584646278267,-1.103082892396901,-1.103082892396901,-220.1220608999949,1.0,2.0,1.0,2.0,73.43481715,0.1994448634969226,-0.33167611777094413,,,,1.0,0.0,,
C,recent2024,base,37,37,0.43525483941109044,-0.2286264384628145,43.24324324324324,2439.0654531971395,1.7019414394331187,1.2389728678360303,-3.084037157135793,-2.7776407629339506,-4045.735128670905,4.0,9.0,3.0,12.0,1215.8595468029998,0.6286570166013368,0.18668891068664614,-0.23287415662373612,-0.6049943068180329,-5420.353619104898,11.0,13.0,0.8386735719499857,0.1215241567492459
C,recent2024,removed,37,4,-1.2568627449117316,-1.1637900862260022,0.0,-2338.084142489985,0.0,0.0,-2.4712443687321075,-2.4712443687321075,-2338.084142489985,4.0,3.0,2.0,3.0,160.28414249000002,-1.0745894770080089,-1.5996081803947038,,,,2.0,0.0,,
C,recent2024,kept,37,33,0.64036000114719,-0.1134401159076019,48.484848484848484,4777.149595687124,2.179547363598918,1.6071333721606826,-3.084037157135793,-2.621103273141329,-3270.496705964984,3.0,9.0,3.0,12.0,1055.575404313,0.8351111370388334,0.36713286763644337,-0.08659007258259385,-0.49162588280173763,-3082.2694766149134,9.0,13.0,1.0957350250115456,0.30974689696319013
C,2022,base,0,0,,,,,,,,,,,,,,,,,,,,,,,
C,2022,removed,0,0,,,,,,,,,,,,,,,,,,,,,,,
C,2022,kept,0,0,,,,,,,,,,,,,,,,,,,,,,,
C,2023,base,24,24,0.5322151281129571,-0.0835397912890539,50.0,2004.6965969000394,2.481770680336024,2.4752490040066593,-1.4324280789310149,-1.3450409269693337,-630.7811722999886,5.0,5.0,1.0,4.0,504.45340310000006,0.7701569343509475,0.22169122718626896,-0.1788867767126673,-0.5975410263064285,-575.6353220499675,4.0,8.0,0.980567674329208,0.175626712857379
C,2023,removed,24,20,0.6418687345748539,-0.0856720801061609,50.0,2072.426414050028,2.758898989245907,2.87377918258296,-1.4324280789310149,-1.4324280789310149,-410.65911139999344,4.0,5.0,1.0,4.0,431.01858595,0.8842993485217526,0.2717426232668575,-0.2223091427169715,-0.7298528664798906,-507.9055048999782,3.0,8.0,1.2318073952561093,0.23050990965899923
C,2023,kept,24,4,-0.016052904196526746,0.05402726954203435,50.0,-67.72981714998916,0.9514164363259418,0.7321584646278267,-1.103082892396901,-1.103082892396901,-220.1220608999949,1.0,2.0,1.0,2.0,73.43481715,0.1994448634969226,-0.33167611777094413,,,,1.0,0.0,,
C,2024,base,17,17,0.4533182498135479,0.7217097884444075,52.94117647058824,1711.3595472000366,1.9026760926563493,2.0080656215494397,-2.158169389146864,-2.158169389146864,-734.7734253499889,3.0,5.0,1.0,7.0,349.0604528,0.6568982163636856,0.2948613814435307,-0.3458522558523593,-1.1657060660848801,-843.4125791499747,5.0,7.0,1.2245257465529267,0.4053816630823565
C,2024,removed,17,1,-1.544357420638064,-1.544357420638064,0.0,-321.31287389999784,0.0,0.0,-1.544357420638064,-1.544357420638064,-321.31287389999784,1.0,1.0,1.0,1.0,20.6628739,-1.346801346801341,,,,,1.0,0.0,,
C,2024,kept,17,16,0.5781729792167736,0.768543155094927,56.25,2032.6724211000344,2.322873294269825,2.4768529874236145,-2.158169389146864,-2.158169389146864,-692.0129530499953,3.0,5.0,1.0,7.0,328.3975789,0.7821294390614998,0.4174759682489704,-0.23689724087184058,-1.1025975069926828,-522.0997052499771,4.0,7.0,1.3984221141260742,0.5876676563880322
