entry,window,variant,base_n,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash,bad_n,good_n,delete_worst5,delete_both5
ON0,main2022,base,1103,1103,-0.33113732493059,-0.3092684456875074,32.638259292837716,-108909.34697755789,0.5489614559684782,0.5780264406334116,-10.213887194477932,-4.227938559984765,-108909.34697755787,16.0,57.0,5.0,1.0,30978.791977561,-0.10326416393866439,-0.34032642883174796,-0.3681766712571154,-0.3953759179679683,-126722.3991596459,281.0,156.0,-0.29338020850629715,-0.3304162713465564
ON0,main2022,removed,1103,231,-0.3432423181330899,-0.4608432803157676,32.900432900432904,-24048.833202287373,0.617055669292275,0.5646646087152188,-5.717791951694962,-4.081600842174183,-25598.59025718641,9.0,31.0,3.0,25.0,6430.2982022880005,-0.12034916880939174,-0.38732274201256134,-0.5041983278752105,-0.6091932104199546,-34737.66671000839,84.0,45.0,-0.24462123815046516,-0.4069875404210809
ON0,main2022,kept,1103,872,-0.3279306122817626,-0.3039691565887336,32.56880733944954,-84860.51377527049,0.5255697840005993,0.5816652086370979,-10.213887194477932,-4.236222643807235,-84860.51377527052,16.0,53.0,5.0,6.0,24548.493775273004,-0.09873820507956114,-0.3390805076730059,-0.36684668125411374,-0.3976919051999629,-101304.05335685154,197.0,111.0,-0.280095148155906,-0.3189594804974364
ON0,early2022_2023,base,471,471,-0.3656798194779586,-0.3121156174758957,27.60084925690021,-25265.78044904936,0.37585851530780406,0.39408506643473534,-10.213887194477932,-3.403422307676679,-25357.83833514936,16.0,24.0,2.0,1.0,10330.12044905,-0.08762141419329457,-0.3827860847309475,-0.422895535210324,-0.4542398448832884,-29900.627100949365,82.0,35.0,-0.30390214019903117,-0.36106837693414523
ON0,early2022_2023,removed,471,141,-0.4061139388845417,-0.5396073624210428,31.914893617021278,-12686.972730749747,0.5335415022627471,0.4866432311032985,-5.717791951694962,-4.004318159598045,-13306.036812449775,9.0,10.0,1.0,3.0,3804.2877307500003,-0.16314509670964983,-0.46383093022962274,-0.603648454533918,-0.7193267733570679,-17321.81938264975,50.0,27.0,-0.2552261386255277,-0.45454106325926885
ON0,early2022_2023,kept,471,330,-0.34840342300423666,-0.3048364119820702,25.757575757575758,-12578.807718299617,0.2495039650267343,0.2594082509085752,-10.213887194477932,-2.510088327193081,-12823.723054999631,16.0,20.0,2.0,5.0,6525.8327183,-0.05535220439085188,-0.3562809148543418,-0.37769633358961224,-0.40011521502089736,-13677.542945999621,32.0,8.0,-0.27994616767900515,-0.30862713537782055
ON0,recent2024,base,632,632,-0.30539442155747204,-0.27167062704842526,36.392405063291136,-83643.56652850851,0.6384443912964224,0.613471033418693,-10.16030222072976,-4.55795516160686,-83643.56652850853,12.0,33.0,3.0,1.0,20648.671528511004,-0.11492197268877383,-0.321401790171898,-0.3670569223790894,-0.4141246726996716,-101456.61871059654,199.0,121.0,-0.24627569440324884,-0.3079586435662441
ON0,recent2024,removed,632,90,-0.24474344562248224,-0.2924507382512907,34.44444444444444,-11361.860471537626,0.7386824384797941,0.6278256541706885,-4.553869205938362,-3.975465328263249,-13474.945323286698,8.0,21.0,2.0,22.0,2626.010471538,-0.0533022150989874,-0.3575524188783002,-0.6114109528149492,-0.834665943925177,-21856.759222267654,34.0,18.0,-0.025289217231848876,-0.4011575543494306
ON0,recent2024,kept,632,542,-0.31546561682342966,-0.2642122977759658,36.715867158671585,-72281.70605697088,0.619649024932213,0.6111133287435772,-10.16030222072976,-4.609331274544252,-72281.70605697087,12.0,33.0,3.0,2.0,18022.661056973,-0.1251540357571886,-0.3333937016484103,-0.3781805271059934,-0.42826558776498097,-88725.24563855192,165.0,103.0,-0.24653249587488588,-0.30918896432788223
ON0,2022,base,242,242,-0.35644635025818466,-0.31169266945453244,22.727272727272727,-8388.347406549734,0.19368720457002578,0.1886365266067365,-5.261079058846291,-1.8039242307834444,-8388.347406549734,16.0,12.0,1.0,1.0,4834.8474065499995,-0.05071002861836744,-0.36723364380979695,-0.3930627726290822,-0.420946483715974,-9058.849598349741,21.0,5.0,-0.311514184897981,-0.347951388669971
ON0,2022,removed,242,0,,,,,,,,,,,,,,,,,,,,,,,
ON0,2022,kept,242,242,-0.35644635025818466,-0.31169266945453244,22.727272727272727,-8388.347406549734,0.19368720457002578,0.1886365266067365,-5.261079058846291,-1.8039242307834444,-8388.347406549734,16.0,12.0,1.0,1.0,4834.8474065499995,-0.05071002861836744,-0.36723364380979695,-0.3930627726290822,-0.420946483715974,-9058.849598349741,21.0,5.0,-0.311514184897981,-0.347951388669971
ON0,2023,base,229,229,-0.3754374594394665,-0.3450191802480489,32.751091703056765,-16877.43304249963,0.4911944684645319,0.4618161858998806,-10.213887194477932,-4.337914632257772,-17123.291529949634,10.0,12.0,1.0,1.0,5495.273042500001,-0.12662820593623067,-0.4107431713204588,-0.494684386810403,-0.5613923294004258,-21512.279694399636,61.0,30.0,-0.2521504917210908,-0.37130518072793056
ON0,2023,removed,229,141,-0.4061139388845417,-0.5396073624210428,31.914893617021278,-12686.972730749747,0.5335415022627471,0.4866432311032985,-5.717791951694962,-4.004318159598045,-13306.036812449775,9.0,10.0,1.0,3.0,3804.2877307500003,-0.16314509670964983,-0.46383093022962274,-0.603648454533918,-0.7193267733570679,-17321.81938264975,50.0,27.0,-0.2552261386255277,-0.45454106325926885
ON0,2023,kept,229,88,-0.3262853730558798,-0.20961190397591234,34.090909090909086,-4190.460311749882,0.37871046798221053,0.3694976952977781,-10.213887194477932,-4.072575492355645,-4589.17624979989,10.0,8.0,1.0,5.0,1690.9853117500002,-0.06811818776518402,-0.34887949818113145,-0.419821243604504,-0.5013559992215386,-5220.855185349889,11.0,3.0,-0.10060524538721924,-0.1856703302230206
ON0,2024,base,234,234,-0.3477988964915795,-0.47836829971781414,31.196581196581196,-18709.870684849415,0.6171645675774451,0.6077746635919719,-7.757659565589339,-4.8669948813203145,-18709.87068484942,12.0,12.0,1.0,1.0,5027.945684849999,-0.1492522222840295,-0.39133131739560045,-0.4944427331822647,-0.5881127742953012,-25932.42998214943,76.0,45.0,-0.22573815724692572,-0.37293072379131714
ON0,2024,removed,234,46,-0.08337675736866745,-0.46949315621376186,32.608695652173914,-1639.7832676498454,0.916385966378839,0.8491236393547149,-4.308875072754563,-3.9674998150930967,-4081.844046599902,8.0,10.0,1.0,8.0,1024.29826765,0.11243464226492876,-0.30290191140231154,-0.772429995796701,-1.1815239711204628,-7530.058230699866,19.0,11.0,0.3487208115376616,-0.37602071432394196
