entry,exit_model,tail,date,close,next_open,model_exit,actual_exit,exit_clock,net,cash,reason,delayed
C,1000_S1,best,2023-05-24,14.82,16.0,16.3,2023-05-25,10:00,9.693789370851096,1437.8369574000005,deadline,False
C,1000_S1,best,2025-04-09,16.33,17.9,17.95,2025-04-10,10:00,9.689254591359632,1583.546695600004,deadline,False
C,1000_S1,best,2023-11-10,15.41,15.65,16.52,2023-11-13,10:00,6.9731547387162856,1075.4598355500016,deadline,False
C,1000_S1,best,2026-07-30,53.8,57.14,57.35,2026-07-31,10:00,6.407766165561756,3449.60338558501,deadline,False
C,1000_S1,best,2025-11-26,58.93,60.02,62.73,2025-11-27,10:00,6.257850419145507,3690.1315947600056,deadline,False
C,1000_S1,worst,2026-07-23,62.88,61.05,61.05,2026-07-24,09:30,-3.084037157135793,-1940.4942925409891,opening_gap_stop,False
C,1000_S1,worst,2025-11-25,56.61,55.31,55.31,2025-11-26,09:30,-2.4712443687321075,-1399.8744350099992,opening_gap_stop,False
C,1000_S1,worst,2024-08-07,20.4,20.0,20.0,2024-08-08,09:30,-2.1581693891468636,-440.5990019999971,opening_gap_stop,False
C,1000_S1,worst,2024-08-09,20.79,20.51,20.51,2024-08-12,09:30,-1.5443574206380641,-321.31287389999784,opening_gap_stop,False
C,1000_S1,worst,2026-07-29,57.75,57.0,57.0,2026-07-30,09:30,-1.4753169085363664,-852.545454525,opening_gap_stop,False
WF_ENTRY,1000_S1,best,2023-03-16,12.35,12.55,13.59,2023-03-17,10:00,9.73350328195345,1203.1874012000007,deadline,False
WF_ENTRY,1000_S1,best,2023-05-24,14.82,16.0,16.3,2023-05-25,10:00,9.693789370851096,1437.8369574000005,deadline,False
WF_ENTRY,1000_S1,best,2025-04-09,16.33,17.9,17.95,2025-04-10,10:00,9.689254591359632,1583.546695600004,deadline,False
WF_ENTRY,1000_S1,best,2026-07-30,53.8,57.14,57.35,2026-07-31,10:00,6.407766165561756,3449.60338558501,deadline,False
WF_ENTRY,1000_S1,best,2025-11-26,58.93,60.02,62.73,2025-11-27,10:00,6.257850419145507,3690.1315947600056,deadline,False
WF_ENTRY,1000_S1,worst,2023-08-08,24.18,23.3,23.3,2023-08-09,09:30,-3.874407134905013,-937.5031543999979,opening_gap_stop,False
WF_ENTRY,1000_S1,worst,2023-03-24,17.66,17.08,17.08,2023-03-27,09:30,-3.5350720066978507,-624.788862899999,opening_gap_stop,False
WF_ENTRY,1000_S1,worst,2023-03-27,17.63,17.08,17.08,2023-03-28,09:30,-3.3709694686739615,-594.7735627499995,opening_gap_stop,False
WF_ENTRY,1000_S1,worst,2023-04-03,17.76,17.24,17.24,2023-04-04,09:30,-3.179248050691724,-565.0813825999963,opening_gap_stop,False
WF_ENTRY,1000_S1,worst,2026-07-23,62.88,61.05,61.05,2026-07-24,09:30,-3.084037157135793,-1940.4942925409891,opening_gap_stop,False
C,1000_S2,best,2023-05-24,14.82,16.0,16.3,2023-05-25,10:00,9.693789370851096,1437.8369574000005,deadline,False
C,1000_S2,best,2025-04-09,16.33,17.9,17.95,2025-04-10,10:00,9.689254591359632,1583.546695600004,deadline,False
C,1000_S2,best,2023-11-10,15.41,15.65,16.52,2023-11-13,10:00,6.9731547387162856,1075.4598355500016,deadline,False
C,1000_S2,best,2026-07-30,53.8,57.14,57.35,2026-07-31,10:00,6.407766165561756,3449.60338558501,deadline,False
C,1000_S2,best,2025-11-26,58.93,60.02,62.73,2025-11-27,10:00,6.257850419145507,3690.1315947600056,deadline,False
C,1000_S2,worst,2026-07-23,62.88,61.05,61.05,2026-07-24,09:30,-3.084037157135793,-1940.4942925409891,opening_gap_stop,False
C,1000_S2,worst,2025-11-25,56.61,55.31,55.31,2025-11-26,09:30,-2.4712443687321075,-1399.8744350099992,opening_gap_stop,False
C,1000_S2,worst,2023-10-25,13.54,13.4,13.27,2023-10-26,09:55,-2.2159598483456966,-300.304783849997,intrabar_stop,False
C,1000_S2,worst,2024-01-09,13.19,13.08,12.93,2024-01-10,09:35,-2.1950383426911495,-289.7829687999995,intrabar_stop,False
C,1000_S2,worst,2024-08-14,21.38,20.74,20.49,2024-08-15,09:55,-2.1854350439441013,-467.59358194999766,intrabar_stop,False
WF_ENTRY,1000_S2,best,2023-03-16,12.35,12.55,13.59,2023-03-17,10:00,9.73350328195345,1203.1874012000007,deadline,False
WF_ENTRY,1000_S2,best,2023-05-24,14.82,16.0,16.3,2023-05-25,10:00,9.693789370851096,1437.8369574000005,deadline,False
WF_ENTRY,1000_S2,best,2025-04-09,16.33,17.9,17.95,2025-04-10,10:00,9.689254591359632,1583.546695600004,deadline,False
WF_ENTRY,1000_S2,best,2026-07-30,53.8,57.14,57.35,2026-07-31,10:00,6.407766165561756,3449.60338558501,deadline,False
WF_ENTRY,1000_S2,best,2025-11-26,58.93,60.02,62.73,2025-11-27,10:00,6.257850419145507,3690.1315947600056,deadline,False
WF_ENTRY,1000_S2,worst,2023-08-08,24.18,23.3,23.3,2023-08-09,09:30,-3.874407134905013,-937.5031543999979,opening_gap_stop,False
WF_ENTRY,1000_S2,worst,2023-03-24,17.66,17.08,17.08,2023-03-27,09:30,-3.5350720066978507,-624.788862899999,opening_gap_stop,False
WF_ENTRY,1000_S2,worst,2023-03-27,17.63,17.08,17.08,2023-03-28,09:30,-3.3709694686739615,-594.7735627499995,opening_gap_stop,False
WF_ENTRY,1000_S2,worst,2023-04-03,17.76,17.24,17.24,2023-04-04,09:30,-3.179248050691724,-565.0813825999963,opening_gap_stop,False
WF_ENTRY,1000_S2,worst,2026-07-23,62.88,61.05,61.05,2026-07-24,09:30,-3.084037157135793,-1940.4942925409891,opening_gap_stop,False
C,1000_S2_WORSTBAR,best,2023-05-24,14.82,16.0,16.3,2023-05-25,10:00,9.693789370851096,1437.8369574000005,deadline,False
C,1000_S2_WORSTBAR,best,2025-04-09,16.33,17.9,17.95,2025-04-10,10:00,9.689254591359632,1583.546695600004,deadline,False
C,1000_S2_WORSTBAR,best,2023-11-10,15.41,15.65,16.52,2023-11-13,10:00,6.9731547387162856,1075.4598355500016,deadline,False
C,1000_S2_WORSTBAR,best,2026-07-30,53.8,57.14,57.35,2026-07-31,10:00,6.407766165561756,3449.60338558501,deadline,False
C,1000_S2_WORSTBAR,best,2025-11-26,58.93,60.02,62.73,2025-11-27,10:00,6.257850419145507,3690.1315947600056,deadline,False
C,1000_S2_WORSTBAR,worst,2025-11-28,60.72,60.03,58.8,2025-12-01,09:35,-3.335336669416381,-2026.5236475839874,intrabar_stop,False
C,1000_S2_WORSTBAR,worst,2024-08-30,20.47,20.37,19.85,2024-09-02,09:40,-3.224159437007704,-660.4832405999998,intrabar_stop,False
C,1000_S2_WORSTBAR,worst,2026-07-23,62.88,61.05,61.05,2026-07-24,09:30,-3.084037157135793,-1940.4942925409891,opening_gap_stop,False
C,1000_S2_WORSTBAR,worst,2026-07-29,57.75,57.0,56.23,2026-07-30,09:40,-2.8062643818771877,-1621.663745003998,intrabar_stop,False
C,1000_S2_WORSTBAR,worst,2024-08-14,21.38,20.74,20.4,2024-08-15,09:55,-2.6056515645511285,-557.5027048999958,intrabar_stop,False
WF_ENTRY,1000_S2_WORSTBAR,best,2023-03-16,12.35,12.55,13.59,2023-03-17,10:00,9.73350328195345,1203.1874012000007,deadline,False
WF_ENTRY,1000_S2_WORSTBAR,best,2023-05-24,14.82,16.0,16.3,2023-05-25,10:00,9.693789370851096,1437.8369574000005,deadline,False
WF_ENTRY,1000_S2_WORSTBAR,best,2025-04-09,16.33,17.9,17.95,2025-04-10,10:00,9.689254591359632,1583.546695600004,deadline,False
WF_ENTRY,1000_S2_WORSTBAR,best,2026-07-30,53.8,57.14,57.35,2026-07-31,10:00,6.407766165561756,3449.60338558501,deadline,False
WF_ENTRY,1000_S2_WORSTBAR,best,2025-11-26,58.93,60.02,62.73,2025-11-27,10:00,6.257850419145507,3690.1315947600056,deadline,False
WF_ENTRY,1000_S2_WORSTBAR,worst,2023-04-07,18.37,18.06,17.5,2023-04-10,09:40,-4.9813238883457105,-915.7849543499976,intrabar_stop,False
WF_ENTRY,1000_S2_WORSTBAR,worst,2023-04-28,16.12,15.98,15.4,2023-05-04,09:35,-4.719872679832734,-761.4675036000002,intrabar_stop,False
WF_ENTRY,1000_S2_WORSTBAR,worst,2023-04-14,18.07,17.99,17.39,2023-04-17,09:35,-4.0115972780368985,-725.4659083999995,intrabar_stop,False
WF_ENTRY,1000_S2_WORSTBAR,worst,2023-08-08,24.18,23.3,23.3,2023-08-09,09:30,-3.874407134905013,-937.5031543999979,opening_gap_stop,False
WF_ENTRY,1000_S2_WORSTBAR,worst,2023-09-08,19.08,19.0,18.42,2023-09-11,09:35,-3.6571890021672266,-698.3303982999963,intrabar_stop,False
