buffer,mode,settlement,initial,final,hold_final,return_pct,hold_return_pct,increment_cash,increment_pct,mdd_pct,hold_mdd_pct,relative_mdd_cash,completed,sales,skip_t1,skip_missing,sale_blocked,failed_restore_days,max_consecutive_deficit_days,insufficient_cash_windows,max_extra_cash_required,terminal_missing,terminal_cash,terminal_cash_gap,terminal_receivable,terminal_tax_reserve,unobserved_first_windows,missed_rise_cash,avoided_fall_cash,fees,dividend_tax,scenario,rule,first_window,base_bp,extra_bp,delay,purpose,deficit_days,traded_notional,reference_notional
0.3,conservative,scheduled_payment_close,23894.0,84555.40725744567,73284.0,253.8771543376817,206.7046120364945,11271.407257445666,47.172542301187185,-57.29429352276756,-45.63040509786072,-8136.860422454876,286,286,54,0,1,0,0,0,0.0,0,20485.407257445673,0.0,0.0,0.0,0,25220.00000000002,52169.999999999985,7969.927742555007,700.0,S1_F1_open_b5_e0_d0_exdate_reference,S1_F1,open,5,0,0,exdate_reference,0,14017316.424999999,14017330.0
0.3,conservative,scheduled_payment_close,23894.0,77549.03015689066,73284.0,224.55440762070248,206.7046120364945,4265.030156890658,17.849795584207993,-63.18419304226024,-45.63040509786072,-9130.97270619976,286,286,54,0,1,0,0,0,0.0,0,13479.030156890658,0.0,0.0,0.0,0,25220.00000000002,52169.999999999985,7967.639843110002,700.0,S1_F1_open_b10_e0_d0_exdate_reference,S1_F1,open,10,0,0,exdate_reference,0,14017302.85,14017330.0
0.3,conservative,scheduled_payment_close,23894.0,81383.21650472072,73284.0,240.60105677040565,206.7046120364945,8099.216504720724,33.896444733911125,-58.43301750284443,-45.63040509786072,-9286.762895305961,286,286,54,0,1,0,0,0,0.0,0,17313.21650472073,0.0,0.0,0.0,0,60919.99999999997,84699.99999999997,7970.533495280011,700.0,S1_F1_post0935_b5_e0_d0_exdate_reference,S1_F1,post0935,5,0,0,exdate_reference,0,14020488.01,14020500.0
0.3,conservative,scheduled_payment_close,23894.0,74375.25410144072,73284.0,211.27167532200852,206.7046120364945,1091.254101440718,4.567063285514012,-64.3698648845458,-45.63040509786072,-10007.840474611934,286,286,54,0,1,0,0,0,0.0,0,10305.254101440718,0.0,0.0,0.0,0,60919.99999999997,84699.99999999997,7968.245898559997,700.0,S1_F1_post0935_b10_e0_d0_exdate_reference,S1_F1,post0935,10,0,0,exdate_reference,0,14020476.02,14020500.0
0.3,conservative,scheduled_payment_close,23894.0,59348.91167342033,73284.0,148.38416202151302,206.7046120364945,-13935.088326579673,-58.32045001498147,-69.68420541006917,-45.63040509786072,-15568.088326579658,217,218,217,1186,2,1187,349,1186,7262.768366579662,100,1685.911673420338,4729.355928614661,0.0,0.0,0,70331.0,64805.00000000002,5321.873826580006,90.0,S0_open_b5_e0_d0_exdate_reference,S0,open,5,0,0,exdate_reference,1187,5994428.2845,5994429.0
0.3,conservative,scheduled_payment_close,23894.0,59322.63956752023,73284.0,148.2742092890275,206.7046120364945,-13961.36043247977,-58.43040274746702,-69.50807774514409,-45.63040509786072,-15594.360432479763,128,129,128,1364,2,1365,349,1364,7293.040512479761,100,1659.6395675202384,4758.83156654976,0.0,0.0,0,70676.0,63655.000000000015,3212.0164324800007,90.0,S0_open_b10_e0_d0_exdate_reference,S0,open,10,0,0,exdate_reference,1365,3638344.0639999993,3638344.0
0.3,conservative,scheduled_payment_close,23894.0,59502.30322019044,73284.0,149.0261288197474,206.7046120364945,-13781.696779809557,-57.67848321674712,-69.41984888048601,-45.63040509786072,-15906.85569750957,329,330,329,962,2,963,579,962,7109.37681980955,100,1839.3032201904498,4575.964381844549,0.0,0.0,0,80469.00000000003,78685.00000000001,7687.220779809998,95.0,S0_post0935_b5_e0_d0_exdate_reference,S0,post0935,5,0,0,exdate_reference,963,8430949.425999999,8430952.0
0.3,conservative,scheduled_payment_close,23894.0,59418.09317944027,73284.0,148.67369707642197,206.7046120364945,-13865.906820559729,-58.03091496007253,-69.34980165993136,-45.63040509786072,-15597.072455959773,193,194,193,1234,2,1235,579,1234,7197.586900559721,100,1755.0931794402786,4663.37795462972,0.0,0.0,0,77562.00000000001,73871.00000000003,4764.2128205599965,67.5,S0_post0935_b10_e0_d0_exdate_reference,S0,post0935,10,0,0,exdate_reference,1235,5343190.734,5343194.0
0.3,conservative,scheduled_payment_close,23894.0,84555.40725744567,73284.0,253.8771543376817,206.7046120364945,11271.407257445666,47.172542301187185,-57.29429352276756,-45.63040509786072,-8136.860422454876,286,286,54,0,1,0,0,0,0.0,0,20485.407257445673,0.0,0.0,0.0,0,25220.00000000002,52169.999999999985,7969.927742555007,700.0,S1_F1_open_b5_e0_d0_main,S1_F1,open,5,0,0,main,0,14017316.424999999,14017330.0
0.3,conservative,scheduled_payment_close,23894.0,84555.40725744567,73284.0,253.8771543376817,206.7046120364945,11271.407257445666,47.172542301187185,-57.29429352276756,-45.63040509786072,-8136.860422454876,286,286,54,0,1,0,0,0,0.0,0,20485.407257445673,0.0,0.0,0.0,0,25220.00000000002,52169.999999999985,7969.927742555007,700.0,S1_F1_open_b5_e0_d1_main,S1_F1,open,5,0,1,main,0,14017316.424999999,14017330.0
0.3,conservative,scheduled_payment_close,23894.0,84555.40725744567,73284.0,253.8771543376817,206.7046120364945,11271.407257445666,47.172542301187185,-57.29429352276756,-45.63040509786072,-8136.860422454876,286,286,54,0,1,0,0,0,0.0,0,20485.407257445673,0.0,0.0,0.0,0,25220.00000000002,52169.999999999985,7969.927742555007,700.0,S1_F1_open_b5_e0_d3_main,S1_F1,open,5,0,3,main,0,14017316.424999999,14017330.0
0.3,conservative,scheduled_payment_close,23894.0,77549.03015689066,73284.0,224.55440762070248,206.7046120364945,4265.030156890658,17.849795584207993,-63.18419304226024,-45.63040509786072,-9130.97270619976,286,286,54,0,1,0,0,0,0.0,0,13479.030156890658,0.0,0.0,0.0,0,25220.00000000002,52169.999999999985,7967.639843110002,700.0,S1_F1_open_b10_e0_d0_main,S1_F1,open,10,0,0,main,0,14017302.85,14017330.0
0.3,conservative,scheduled_payment_close,23894.0,77549.03015689066,73284.0,224.55440762070248,206.7046120364945,4265.030156890658,17.849795584207993,-63.18419304226024,-45.63040509786072,-9130.97270619976,286,286,54,0,1,0,0,0,0.0,0,13479.030156890658,0.0,0.0,0.0,0,25220.00000000002,52169.999999999985,7967.639843110002,700.0,S1_F1_open_b10_e0_d1_main,S1_F1,open,10,0,1,main,0,14017302.85,14017330.0
