buffer,mode,settlement,initial,final,hold_final,return_pct,hold_return_pct,increment_cash,increment_pct,mdd_pct,hold_mdd_pct,relative_mdd_cash,completed,sales,skip_t1,skip_missing,sale_blocked,failed_restore_days,max_consecutive_deficit_days,insufficient_cash_windows,max_extra_cash_required,terminal_missing,terminal_cash,terminal_cash_gap,terminal_receivable,terminal_tax_reserve,unobserved_first_windows,missed_rise_cash,avoided_fall_cash,fees,dividend_tax,scenario,rule,first_window,base_bp,extra_bp,delay,purpose,deficit_days,traded_notional,reference_notional
0.3,conservative,scheduled_payment_close,23894.0,77549.03015689066,73284.0,224.55440762070248,206.7046120364945,4265.030156890658,17.849795584207993,-63.18419304226024,-45.63040509786072,-9130.97270619976,286,286,54,0,1,0,0,0,0.0,0,13479.030156890658,0.0,0.0,0.0,0,25220.00000000002,52169.999999999985,7967.639843110002,700.0,S1_F1_open_b10_e0_d3_main,S1_F1,open,10,0,3,main,0,14017302.85,14017330.0
0.3,conservative,scheduled_payment_close,23894.0,81383.21650472072,73284.0,240.60105677040565,206.7046120364945,8099.216504720724,33.896444733911125,-58.43301750284443,-45.63040509786072,-9286.762895305961,286,286,54,0,1,0,0,0,0.0,0,17313.21650472073,0.0,0.0,0.0,0,60919.99999999997,84699.99999999997,7970.533495280011,700.0,S1_F1_post0935_b5_e0_d0_main,S1_F1,post0935,5,0,0,main,0,14020488.01,14020500.0
0.3,conservative,scheduled_payment_close,23894.0,81383.21650472072,73284.0,240.60105677040565,206.7046120364945,8099.216504720724,33.896444733911125,-58.43301750284443,-45.63040509786072,-9286.762895305961,286,286,54,0,1,0,0,0,0.0,0,17313.21650472073,0.0,0.0,0.0,0,60919.99999999997,84699.99999999997,7970.533495280011,700.0,S1_F1_post0935_b5_e0_d1_main,S1_F1,post0935,5,0,1,main,0,14020488.01,14020500.0
0.3,conservative,scheduled_payment_close,23894.0,81383.21650472072,73284.0,240.60105677040565,206.7046120364945,8099.216504720724,33.896444733911125,-58.43301750284443,-45.63040509786072,-9286.762895305961,286,286,54,0,1,0,0,0,0.0,0,17313.21650472073,0.0,0.0,0.0,0,60919.99999999997,84699.99999999997,7970.533495280011,700.0,S1_F1_post0935_b5_e0_d3_main,S1_F1,post0935,5,0,3,main,0,14020488.01,14020500.0
0.3,conservative,scheduled_payment_close,23894.0,74375.25410144072,73284.0,211.27167532200852,206.7046120364945,1091.254101440718,4.567063285514012,-64.3698648845458,-45.63040509786072,-10007.840474611934,286,286,54,0,1,0,0,0,0.0,0,10305.254101440718,0.0,0.0,0.0,0,60919.99999999997,84699.99999999997,7968.245898559997,700.0,S1_F1_post0935_b10_e0_d0_main,S1_F1,post0935,10,0,0,main,0,14020476.02,14020500.0
0.3,conservative,scheduled_payment_close,23894.0,74375.25410144072,73284.0,211.27167532200852,206.7046120364945,1091.254101440718,4.567063285514012,-64.3698648845458,-45.63040509786072,-10007.840474611934,286,286,54,0,1,0,0,0,0.0,0,10305.254101440718,0.0,0.0,0.0,0,60919.99999999997,84699.99999999997,7968.245898559997,700.0,S1_F1_post0935_b10_e0_d1_main,S1_F1,post0935,10,0,1,main,0,14020476.02,14020500.0
0.3,conservative,scheduled_payment_close,23894.0,74375.25410144072,73284.0,211.27167532200852,206.7046120364945,1091.254101440718,4.567063285514012,-64.3698648845458,-45.63040509786072,-10007.840474611934,286,286,54,0,1,0,0,0,0.0,0,10305.254101440718,0.0,0.0,0.0,0,60919.99999999997,84699.99999999997,7968.245898559997,700.0,S1_F1_post0935_b10_e0_d3_main,S1_F1,post0935,10,0,3,main,0,14020476.02,14020500.0
0.3,conservative,scheduled_payment_close,23894.0,59348.91167342033,73284.0,148.38416202151302,206.7046120364945,-13935.088326579673,-58.32045001498147,-69.68420541006917,-45.63040509786072,-15568.088326579658,217,218,217,1186,2,1187,349,1186,7262.768366579662,100,1685.911673420338,4729.355928614661,0.0,0.0,0,70331.0,64805.00000000002,5321.873826580006,90.0,S0_open_b5_e0_d0_main,S0,open,5,0,0,main,1187,5994428.2845,5994429.0
0.3,conservative,scheduled_payment_close,23894.0,60863.913018445346,73284.0,154.7246715428365,206.7046120364945,-12420.086981554654,-51.97994049365804,-69.61441796154855,-45.63040509786072,-14053.086981554647,233,234,233,1155,1,1156,338,1155,5747.767021554646,100,3200.9130184453534,3214.3545835896457,0.0,0.0,0,68957.0,65523.00000000002,5676.798481554999,90.0,S0_open_b5_e0_d1_main,S0,open,5,0,1,main,1156,6438575.238500001,6438577.0
0.3,conservative,scheduled_payment_close,23894.0,59333.48805648533,73284.0,148.31961185437902,206.7046120364945,-13950.51194351467,-58.38500018211547,-69.86044355083601,-45.63040509786072,-15583.511943514663,222,223,222,1176,2,1177,603,1176,7278.191983514663,100,1670.4880564853374,4744.779545549662,0.0,0.0,0,70080.0,64754.00000000002,5462.437443514998,90.0,S0_open_b5_e0_d3_main,S0,open,5,0,3,main,1177,6144148.184500001,6144149.0
0.3,conservative,scheduled_payment_close,23894.0,59322.63956752023,73284.0,148.2742092890275,206.7046120364945,-13961.36043247977,-58.43040274746702,-69.50807774514409,-45.63040509786072,-15594.360432479763,128,129,128,1364,2,1365,349,1364,7293.040512479761,100,1659.6395675202384,4758.83156654976,0.0,0.0,0,70676.0,63655.000000000015,3212.0164324800007,90.0,S0_open_b10_e0_d0_main,S0,open,10,0,0,main,1365,3638344.0639999993,3638344.0
0.3,conservative,scheduled_payment_close,23894.0,59312.45566427024,73284.0,148.23158811530192,206.7046120364945,-13971.544335729763,-58.47302392119261,-69.71409319119326,-45.63040509786072,-15604.544335729763,135,136,135,1350,2,1351,606,1350,7303.224415729758,100,1649.455664270241,4769.015469799758,0.0,0.0,0,70499.0,63786.00000000001,3371.308335730002,90.0,S0_open_b10_e0_d1_main,S0,open,10,0,1,main,1351,3797235.755999999,3797236.0
0.3,conservative,scheduled_payment_close,23894.0,60748.61030505027,73284.0,154.24211226688823,206.7046120364945,-12535.389694949728,-52.462499769606296,-68.345298546269,-45.63040509786072,-14168.389694949714,163,164,163,1295,1,1296,338,1295,5867.069774949718,100,3085.6103050502807,3332.860829019718,0.0,0.0,0,69346.00000000001,65211.00000000001,3915.4716949500053,90.0,S0_open_b10_e0_d3_main,S0,open,10,0,3,main,1296,4394915.177999999,4394918.0
0.3,conservative,scheduled_payment_close,23894.0,59502.30322019044,73284.0,149.0261288197474,206.7046120364945,-13781.696779809557,-57.67848321674712,-69.41984888048601,-45.63040509786072,-15906.85569750957,329,330,329,962,2,963,579,962,7109.37681980955,100,1839.3032201904498,4575.964381844549,0.0,0.0,0,80469.00000000003,78685.00000000001,7687.220779809998,95.0,S0_post0935_b5_e0_d0_main,S0,post0935,5,0,0,main,963,8430949.425999999,8430952.0
0.3,conservative,scheduled_payment_close,23894.0,59474.81337270042,73284.0,148.9110796547268,206.7046120364945,-13809.186627299583,-57.79353238176774,-69.73149488158539,-45.63040509786072,-15934.34554499961,312,313,312,996,2,997,606,996,7136.866667299578,100,1811.8133727004224,4603.454229334577,0.0,0.0,0,80478.00000000003,78196.00000000003,7365.391627299993,95.0,S0_post0935_b5_e0_d1_main,S0,post0935,5,0,1,main,997,8133587.675000001,8133590.0
0.3,conservative,scheduled_payment_close,23894.0,59496.393467700414,73284.0,149.00139561270785,206.7046120364945,-13787.606532299586,-57.703216423786664,-69.6480653554151,-45.63040509786072,-15912.765449999599,311,312,311,998,2,999,600,998,7115.286572299577,100,1833.3934677004236,4581.8741343345755,0.0,0.0,0,80420.00000000003,78138.00000000003,7352.021532299993,95.0,S0_post0935_b5_e0_d3_main,S0,post0935,5,0,3,main,999,8117167.675000001,8117170.0
0.3,conservative,scheduled_payment_close,23894.0,59418.09317944027,73284.0,148.67369707642197,206.7046120364945,-13865.906820559729,-58.03091496007253,-69.34980165993136,-45.63040509786072,-15597.072455959773,193,194,193,1234,2,1235,579,1234,7197.586900559721,100,1755.0931794402786,4663.37795462972,0.0,0.0,0,77562.00000000001,73871.00000000003,4764.2128205599965,67.5,S0_post0935_b10_e0_d0_main,S0,post0935,10,0,0,main,1235,5343190.734,5343194.0
0.3,conservative,scheduled_payment_close,23894.0,60524.413919040264,73284.0,153.30381651895982,206.7046120364945,-12759.586080959736,-53.40079551753468,-69.40003005583392,-45.63040509786072,-14490.75171635978,177,178,177,1267,1,1268,642,1267,6033.666160959728,100,2861.413919040271,3557.0572150297276,0.0,0.0,0,76529.00000000003,73327.00000000001,4441.161080959997,67.5,S0_post0935_b10_e0_d1_main,S0,post0935,10,0,1,main,1268,5048921.245,5048925.0
0.3,conservative,scheduled_payment_close,23894.0,60550.44098076027,73284.0,153.41274370452948,206.7046120364945,-12733.559019239729,-53.29186833196505,-69.41059784785023,-45.63040509786072,-14464.724654639766,182,183,182,1257,1,1258,649,1257,6007.63909923972,100,2887.4409807602788,3531.03015330972,0.0,0.0,0,76600.00000000003,73597.00000000003,4532.453019239993,67.5,S0_post0935_b10_e0_d3_main,S0,post0935,10,0,3,main,1258,5130602.046,5130606.0
0.3,conservative,scheduled_payment_close,23894.0,83154.13183733422,73284.0,248.012604994284,206.7046120364945,9870.131837334222,41.307992957789494,-58.46656228128191,-45.63040509786072,-8330.30232414596,286,286,54,0,1,0,0,0,0.0,0,19084.13183733423,0.0,0.0,0.0,0,25220.00000000002,52169.999999999985,7969.470162665994,700.0,S1_F1_open_b5_e1_d0_extra_cost,S1_F1,open,5,1,0,extra_cost,0,14017313.709999997,14017330.0
0.3,conservative,scheduled_payment_close,23894.0,81752.85641722317,73284.0,242.14805565088798,206.7046120364945,8468.85641722317,35.44344361439345,-59.64167621648191,-45.63040509786072,-8523.74422583697,286,286,54,0,1,0,0,0,0.0,0,17682.85641722317,0.0,0.0,0.0,0,25220.00000000002,52169.999999999985,7969.012582777006,700.0,S1_F1_open_b5_e2_d0_extra_cost,S1_F1,open,5,2,0,extra_cost,0,14017310.994999997,14017330.0
0.3,conservative,scheduled_payment_close,23894.0,60820.31406027477,73284.0,154.54220331578964,206.7046120364945,-12463.685939725226,-52.162408720704896,-64.37079189781704,-45.63040509786072,-16424.32523760521,171,172,32,136,1,628,340,627,5796.166027725223,100,3157.314060274777,3261.7977802022233,0.0,0.0,0,59205.0,56123.000000000015,4021.1894397250007,260.0,S1_F1_open_b10_e1_d0_extra_cost,S1_F1,open,10,1,0,extra_cost,628,4636810.8805,4636815.0
0.3,conservative,scheduled_payment_close,23894.0,60575.313917487816,73284.0,153.5168407026359,206.7046120364945,-12708.686082512184,-53.18777133385864,-65.56028829149638,-45.63040509786072,-16627.413207472157,169,170,31,139,1,646,640,645,5984.366178512173,100,2912.313917487827,3507.4386293961734,0.0,0.0,0,59356.0,56373.00000000001,3987.4028825119976,260.0,S1_F1_open_b10_e2_d0_extra_cost,S1_F1,open,10,2,0,extra_cost,646,4565231.3872,4565236.0
0.3,conservative,scheduled_payment_close,23894.0,79981.6240240642,73284.0,234.735180480724,206.7046120364945,6697.624024064193,28.030568444229484,-59.61494351339387,-45.63040509786072,-9430.978411167176,286,286,54,0,1,0,0,0,0.0,0,15911.624024064207,0.0,0.0,0.0,0,60919.99999999997,84699.99999999997,7970.075975935991,700.0,S1_F1_post0935_b5_e1_d0_extra_cost,S1_F1,post0935,5,1,0,extra_cost,0,14020485.612,14020500.0
0.3,conservative,scheduled_payment_close,23894.0,78580.03154340823,73284.0,228.86930419104473,206.7046120364945,5296.0315434082295,22.16469215455022,-60.79958188781285,-45.63040509786072,-9575.193927028391,286,286,54,0,1,0,0,0,0.0,0,14510.03154340823,0.0,0.0,0.0,0,60919.99999999997,84699.99999999997,7969.618456592,700.0,S1_F1_post0935_b5_e2_d0_extra_cost,S1_F1,post0935,5,2,0,extra_cost,0,14020483.213999998,14020500.0
0.3,conservative,scheduled_payment_close,23894.0,60695.975613428775,73284.0,154.0218281301949,206.7046120364945,-12588.024386571225,-52.6827839062996,-65.56544662070016,-45.63040509786072,-16698.386733851206,156,157,29,155,0,789,340,788,5920.504474571218,100,3032.975613428782,3386.1362270482186,0.0,0.0,0,69576.0,65283.00000000001,3644.384286570998,199.5,S1_F1_post0935_b10_e1_d0_extra_cost,S1_F1,post0935,10,1,0,extra_cost,789,4046488.1521000005,4046491.0
0.3,conservative,scheduled_payment_close,23894.0,60679.554201971856,73284.0,153.95310204223597,206.7046120364945,-12604.445798028144,-52.751509994258576,-66.76378789072031,-45.63040509786072,-16682.94526778813,155,156,29,156,0,778,340,777,5937.725894028141,100,3016.5542019718596,3403.198344912141,0.0,0.0,0,68516.0,64515.00000000001,3601.594998027999,199.5,S1_F1_post0935_b10_e2_d0_extra_cost,S1_F1,post0935,10,2,0,extra_cost,778,4001955.5428,4001959.0
0.3,conservative,scheduled_payment_close,23894.0,84555.40725744567,73284.0,253.8771543376817,206.7046120364945,11271.407257445666,47.172542301187185,-57.29429352276756,-45.63040509786072,-8136.860422454876,286,286,54,0,1,0,0,0,0.0,0,16985.407257445673,0.0,3500.0,0.0,0,25220.00000000002,52169.999999999985,7969.927742555007,700.0,S1_F1_open_b5_e0_d0_locked_reference,S1_F1,open,5,0,0,locked_reference,0,14017316.424999999,14017330.0
0.3,conservative,scheduled_payment_close,23894.0,61898.18019443027,73284.0,159.05323593550796,206.7046120364945,-11385.819805569728,-47.65137610098656,-63.18419304226024,-45.63040509786072,-15388.371276369755,167,168,31,141,1,670,640,669,7057.89988556972,100,955.1801944302788,5463.29093963972,3280.0,0.0,0,59723.0,57059.00000000001,3957.1828055700003,260.0,S1_F1_open_b10_e0_d0_locked_reference,S1_F1,open,10,0,0,locked_reference,670,4504632.837,4504637.0
0.3,conservative,scheduled_payment_close,23894.0,81383.21650472072,73284.0,240.60105677040565,206.7046120364945,8099.216504720724,33.896444733911125,-58.43301750284443,-45.63040509786072,-9286.762895305961,286,286,54,0,1,0,0,0,0.0,0,13813.21650472073,0.0,3500.0,0.0,0,60919.99999999997,84699.99999999997,7970.533495280011,700.0,S1_F1_post0935_b5_e0_d0_locked_reference,S1_F1,post0935,5,0,0,locked_reference,0,14020488.01,14020500.0
0.3,conservative,scheduled_payment_close,23894.0,62097.51469538021,73284.0,159.88748093822807,206.7046120364945,-11186.48530461979,-46.817131098266465,-64.3698648845458,-45.63040509786072,-15328.710529419805,148,149,28,164,0,824,801,823,6803.565384619781,100,1209.5146953802177,5208.956438689781,3225.0,0.0,0,68710.00000000001,64916.00000000001,3456.05330462,150.0,S1_F1_post0935_b10_e0_d0_locked_reference,S1_F1,post0935,10,0,0,locked_reference,824,3786428.9119999995,3786432.0
