event,action,date,clock,quantity,per_share,amount,due_index,scenario
2022-08-05,payment,2022-08-05,after_close,,,450.0,1011,S0_post0935_b5_e0_d0_exdate_reference
2023-07-28,entitlement,2023-07-28,before_open,900.0,0.55,495.00000000000006,1248,S0_post0935_b5_e0_d0_exdate_reference
2023-07-28,payment,2023-07-28,after_close,,,495.00000000000006,1248,S0_post0935_b5_e0_d0_exdate_reference
2024-08-15,entitlement,2024-08-15,before_open,900.0,0.58,522.0,1503,S0_post0935_b5_e0_d0_exdate_reference
2024-08-15,payment,2024-08-15,after_close,,,522.0,1503,S0_post0935_b5_e0_d0_exdate_reference
2025-07-31,entitlement,2025-07-31,before_open,900.0,0.64,576.0,1734,S0_post0935_b5_e0_d0_exdate_reference
2025-07-31,payment,2025-07-31,after_close,,,576.0,1734,S0_post0935_b5_e0_d0_exdate_reference
2026-01-16,entitlement,2026-01-16,before_open,900.0,0.33,297.0,1847,S0_post0935_b5_e0_d0_exdate_reference
2026-01-16,payment,2026-01-16,after_close,,,297.0,1847,S0_post0935_b5_e0_d0_exdate_reference
2026-08-03,entitlement,2026-08-03,before_open,900.0,0.65,585.0,1977,S0_post0935_b5_e0_d0_exdate_reference
2026-08-03,payment,2026-08-03,after_close,,,585.0,1977,S0_post0935_b5_e0_d0_exdate_reference
2020-06-30,entitlement,2020-06-30,before_open,0.0,0.2,0.0,499,S0_post0935_b10_e0_d0_exdate_reference
2020-06-30,payment,2020-06-30,after_close,,,0.0,499,S0_post0935_b10_e0_d0_exdate_reference
2021-07-27,entitlement,2021-07-27,before_open,900.0,0.25,225.0,762,S0_post0935_b10_e0_d0_exdate_reference
2021-07-27,payment,2021-07-27,after_close,,,225.0,762,S0_post0935_b10_e0_d0_exdate_reference
2022-08-05,entitlement,2022-08-05,before_open,900.0,0.5,450.0,1011,S0_post0935_b10_e0_d0_exdate_reference
2022-08-05,payment,2022-08-05,after_close,,,450.0,1011,S0_post0935_b10_e0_d0_exdate_reference
2023-07-28,entitlement,2023-07-28,before_open,900.0,0.55,495.00000000000006,1248,S0_post0935_b10_e0_d0_exdate_reference
2023-07-28,payment,2023-07-28,after_close,,,495.00000000000006,1248,S0_post0935_b10_e0_d0_exdate_reference
2024-08-15,entitlement,2024-08-15,before_open,900.0,0.58,522.0,1503,S0_post0935_b10_e0_d0_exdate_reference
2024-08-15,payment,2024-08-15,after_close,,,522.0,1503,S0_post0935_b10_e0_d0_exdate_reference
2025-07-31,entitlement,2025-07-31,before_open,900.0,0.64,576.0,1734,S0_post0935_b10_e0_d0_exdate_reference
2025-07-31,payment,2025-07-31,after_close,,,576.0,1734,S0_post0935_b10_e0_d0_exdate_reference
2026-01-16,entitlement,2026-01-16,before_open,900.0,0.33,297.0,1847,S0_post0935_b10_e0_d0_exdate_reference
2026-01-16,payment,2026-01-16,after_close,,,297.0,1847,S0_post0935_b10_e0_d0_exdate_reference
2026-08-03,entitlement,2026-08-03,before_open,900.0,0.65,585.0,1977,S0_post0935_b10_e0_d0_exdate_reference
2026-08-03,payment,2026-08-03,after_close,,,585.0,1977,S0_post0935_b10_e0_d0_exdate_reference
2020-06-30,entitlement,2020-06-30,before_open,0.0,0.2,0.0,499,S1_F1_open_b5_e0_d0_main
2020-06-30,payment,2020-06-30,after_close,,,0.0,499,S1_F1_open_b5_e0_d0_main
2021-07-27,entitlement,2021-07-27,before_open,1000.0,0.25,250.0,762,S1_F1_open_b5_e0_d0_main
2021-07-27,payment,2021-07-27,after_close,,,250.0,762,S1_F1_open_b5_e0_d0_main
