status,orders,days,fees,tax,entitled,received,receivable,scenario
PASS,572,1624,7969.927742555007,700.0,3500.0,3500.0,0.0,S1_F1_open_b5_e0_d0_exdate_reference
PASS,572,1624,7967.639843110002,700.0,3500.0,3500.0,0.0,S1_F1_open_b10_e0_d0_exdate_reference
PASS,572,1624,7970.533495280011,700.0,3500.0,3500.0,0.0,S1_F1_post0935_b5_e0_d0_exdate_reference
PASS,572,1624,7968.245898559997,700.0,3500.0,3500.0,0.0,S1_F1_post0935_b10_e0_d0_exdate_reference
PASS,445,1624,5321.873826580006,90.0,3150.0,3150.0,0.0,S0_open_b5_e0_d0_exdate_reference
PASS,268,1624,3212.0164324800007,90.0,3150.0,3150.0,0.0,S0_open_b10_e0_d0_exdate_reference
PASS,664,1624,7687.220779809998,95.0,3175.0,3175.0,0.0,S0_post0935_b5_e0_d0_exdate_reference
PASS,400,1624,4764.2128205599965,67.5,3150.0,3150.0,0.0,S0_post0935_b10_e0_d0_exdate_reference
PASS,572,1624,7969.927742555007,700.0,3500.0,3500.0,0.0,S1_F1_open_b5_e0_d0_main
PASS,572,1624,7969.927742555007,700.0,3500.0,3500.0,0.0,S1_F1_open_b5_e0_d1_main
PASS,572,1624,7969.927742555007,700.0,3500.0,3500.0,0.0,S1_F1_open_b5_e0_d3_main
PASS,572,1624,7967.639843110002,700.0,3500.0,3500.0,0.0,S1_F1_open_b10_e0_d0_main
PASS,572,1624,7967.639843110002,700.0,3500.0,3500.0,0.0,S1_F1_open_b10_e0_d1_main
PASS,572,1624,7967.639843110002,700.0,3500.0,3500.0,0.0,S1_F1_open_b10_e0_d3_main
PASS,572,1624,7970.533495280011,700.0,3500.0,3500.0,0.0,S1_F1_post0935_b5_e0_d0_main
PASS,572,1624,7970.533495280011,700.0,3500.0,3500.0,0.0,S1_F1_post0935_b5_e0_d1_main
PASS,572,1624,7970.533495280011,700.0,3500.0,3500.0,0.0,S1_F1_post0935_b5_e0_d3_main
PASS,572,1624,7968.245898559997,700.0,3500.0,3500.0,0.0,S1_F1_post0935_b10_e0_d0_main
PASS,572,1624,7968.245898559997,700.0,3500.0,3500.0,0.0,S1_F1_post0935_b10_e0_d1_main
PASS,572,1624,7968.245898559997,700.0,3500.0,3500.0,0.0,S1_F1_post0935_b10_e0_d3_main
PASS,445,1624,5321.873826580006,90.0,3150.0,3150.0,0.0,S0_open_b5_e0_d0_main
PASS,479,1624,5676.798481554999,90.0,3150.0,3150.0,0.0,S0_open_b5_e0_d1_main
PASS,456,1624,5462.437443514998,90.0,3150.0,3150.0,0.0,S0_open_b5_e0_d3_main
PASS,268,1624,3212.0164324800007,90.0,3150.0,3150.0,0.0,S0_open_b10_e0_d0_main
PASS,282,1624,3371.308335730002,90.0,3150.0,3150.0,0.0,S0_open_b10_e0_d1_main
PASS,340,1624,3915.4716949500053,90.0,3150.0,3150.0,0.0,S0_open_b10_e0_d3_main
PASS,664,1624,7687.220779809998,95.0,3175.0,3175.0,0.0,S0_post0935_b5_e0_d0_main
PASS,630,1624,7365.391627299993,95.0,3175.0,3175.0,0.0,S0_post0935_b5_e0_d1_main
PASS,629,1624,7352.021532299993,95.0,3175.0,3175.0,0.0,S0_post0935_b5_e0_d3_main
PASS,400,1624,4764.2128205599965,67.5,3150.0,3150.0,0.0,S0_post0935_b10_e0_d0_main
PASS,365,1624,4441.161080959997,67.5,3150.0,3150.0,0.0,S0_post0935_b10_e0_d1_main
PASS,375,1624,4532.453019239993,67.5,3150.0,3150.0,0.0,S0_post0935_b10_e0_d3_main
PASS,572,1624,7969.470162665994,700.0,3500.0,3500.0,0.0,S1_F1_open_b5_e1_d0_extra_cost
PASS,572,1624,7969.012582777006,700.0,3500.0,3500.0,0.0,S1_F1_open_b5_e2_d0_extra_cost
PASS,345,1624,4021.1894397250007,260.0,3280.0,3280.0,0.0,S1_F1_open_b10_e1_d0_extra_cost
PASS,342,1624,3987.4028825119976,260.0,3280.0,3280.0,0.0,S1_F1_open_b10_e2_d0_extra_cost
PASS,572,1624,7970.075975935991,700.0,3500.0,3500.0,0.0,S1_F1_post0935_b5_e1_d0_extra_cost
PASS,572,1624,7969.618456592,700.0,3500.0,3500.0,0.0,S1_F1_post0935_b5_e2_d0_extra_cost
PASS,318,1624,3644.384286570998,199.5,3225.0,3225.0,0.0,S1_F1_post0935_b10_e1_d0_extra_cost
PASS,317,1624,3601.594998027999,199.5,3225.0,3225.0,0.0,S1_F1_post0935_b10_e2_d0_extra_cost
PASS,572,1624,7969.927742555007,700.0,3500.0,0.0,3500.0,S1_F1_open_b5_e0_d0_locked_reference
PASS,339,1624,3957.1828055700003,260.0,3280.0,0.0,3280.0,S1_F1_open_b10_e0_d0_locked_reference
PASS,572,1624,7970.533495280011,700.0,3500.0,0.0,3500.0,S1_F1_post0935_b5_e0_d0_locked_reference
PASS,299,1624,3456.05330462,150.0,3225.0,0.0,3225.0,S1_F1_post0935_b10_e0_d0_locked_reference
