scenario,comparison,date,cash,receivable,shares,settled_next_day,dividend_tax_reserve,fees,dividend_tax_paid,dividend_received,buy_quantity,sell_quantity,restoration_missing_shares,equity_open_before,equity_open,equity_close,hold_equity_open,hold_equity_after,hold_equity_close,relative_equity,restore_cash_gap
S1_F1_post0935_b10_e1_d0_extra_cost,base,2023-04-06,267.84706970021944,0,1000,1000,0.0,5.1774773,0.0,0.0,1000,0,0,18020.75454700022,17997.84706970022,19267.84706970022,24464.0,24194.0,25464.0,-6196.152930299781,0.0
S1_F1_post0935_b10_e1_d0_extra_cost,base,2023-04-07,18595.94192340022,0,0,0,0.0,23.5351463,0.0,0.0,0,1000,0,19047.84706970022,19047.84706970022,18595.94192340022,25244.0,25244.0,24834.0,-6238.05807659978,0.0
S1_F1_post0935_b10_e1_d0_extra_cost,base,2023-04-10,893.0849466002219,0,1000,1000,0.0,5.1769768,0.0,0.0,1000,0,0,18595.94192340022,18573.084946600226,18363.084946600226,24524.0,24144.0,23934.0,-5570.915053399778,0.0
S1_F1_post0935_b10_e1_d0_extra_cost,base,2023-04-11,893.0849466002219,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,18533.084946600226,18533.084946600226,18243.084946600226,24104.0,24104.0,23814.0,-5570.915053399778,0.0
S1_F1_post0935_b10_e1_d0_extra_cost,extra,2023-04-04,17636.82660169979,0,0,0,0.0,22.56475749,0.0,0.0,0,1000,0,17508.54235918979,17508.54235918979,17636.82660169979,23704.0,23704.0,23874.0,-6237.173398300209,0.0
S1_F1_post0935_b10_e1_d0_extra_cost,extra,2023-04-06,1657.114156172789,0,900,900,0.0,5.159745527,0.0,0.0,900,0,100,17636.82660169979,17614.11415617279,18757.11415617279,24464.0,24194.0,25464.0,-6706.885843827211,249.99486472721105
S1_F1_post0935_b10_e1_d0_extra_cost,extra,2023-04-07,1657.114156172789,0,900,900,0.0,0.0,0.0,0.0,0,0,100,18559.11415617279,18559.11415617279,18190.11415617279,25244.0,25244.0,24834.0,-6643.885843827211,186.9249340342112
S1_F1_post0935_b10_e1_d0_extra_cost,extra,2023-04-10,1657.114156172789,0,900,900,0.0,0.0,0.0,0.0,0,0,100,17911.114156172785,17911.114156172785,17380.114156172785,24524.0,24524.0,23934.0,-6553.885843827215,96.82503304421108
S1_F1_post0935_b10_e1_d0_extra_cost,extra,2023-04-11,1657.114156172789,0,900,900,0.0,0.0,0.0,0.0,0,0,100,17533.11415617279,17533.11415617279,17272.114156172793,24104.0,24104.0,23814.0,-6541.885843827207,84.8117129122113
S1_F1_post0935_b10_e2_d0_extra_cost,base,2023-03-23,17788.103282800213,0,0,0,0.0,22.1427401,0.0,0.0,0,1000,0,17527.236022900215,17527.236022900215,17788.103282800213,23154.0,23154.0,23454.0,-5665.8967171997865,0.0
S1_F1_post0935_b10_e2_d0_extra_cost,base,2023-03-24,635.801811500216,0,1000,1000,0.0,5.1714713,0.0,0.0,1000,0,0,17788.103282800213,17765.801811500216,18295.801811500216,23314.0,23594.0,24124.0,-5828.198188499784,0.0
S1_F1_post0935_b10_e2_d0_extra_cost,base,2023-03-27,18225.383317800213,0,0,0,0.0,22.7884937,0.0,0.0,0,1000,0,17715.801811500216,17715.801811500216,18225.383317800213,23544.0,23544.0,24094.0,-5868.616682199787,0.0
S1_F1_post0935_b10_e2_d0_extra_cost,base,2023-03-28,1233.2434481002165,0,1000,1000,0.0,5.1698697,0.0,0.0,1000,0,0,18225.383317800213,18203.243448100216,17683.243448100216,23544.0,23434.0,22914.0,-5230.756551899784,0.0
S1_F1_post0935_b10_e2_d0_extra_cost,base,2023-03-29,1233.2434481002165,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,17933.243448100216,17933.243448100216,17393.243448100216,23164.0,23164.0,22624.0,-5230.756551899784,0.0
S1_F1_post0935_b10_e2_d0_extra_cost,extra,2023-03-23,17041.05693935987,0,0,0,0.0,22.139308120000003,0.0,0.0,0,1000,0,16783.58424747987,16783.58424747987,17041.05693935987,23154.0,23154.0,23454.0,-6412.943060640129,0.0
S1_F1_post0935_b10_e2_d0_extra_cost,extra,2023-03-24,1600.4021843558694,0,900,900,0.0,5.154355004,0.0,0.0,900,0,100,17041.05693935987,17017.40218435587,17494.40218435587,23314.0,23594.0,24124.0,-6629.597815644131,172.73469683613075
S1_F1_post0935_b10_e2_d0_extra_cost,extra,2023-03-27,1600.4021843558694,0,900,900,0.0,0.0,0.0,0.0,0,0,100,16972.402184355866,16972.402184355866,17467.40218435587,23544.0,23544.0,24094.0,-6626.597815644131,169.73106680013075
S1_F1_post0935_b10_e2_d0_extra_cost,extra,2023-03-28,1600.4021843558694,0,900,900,0.0,0.0,0.0,0.0,0,0,100,16972.402184355866,16972.402184355866,16405.40218435587,23544.0,23544.0,22914.0,-6508.597815644131,51.58828538413081
S1_F1_post0935_b10_e2_d0_extra_cost,extra,2023-03-29,1600.4021843558694,0,900,900,0.0,0.0,0.0,0.0,0,0,100,16630.40218435587,16630.40218435587,16144.40218435587,23164.0,23164.0,22624.0,-6479.597815644131,22.553195036130774
