scenario,first_change,event,entitled_quantity,gross_entitlement,payment_date,payment_before_dependency,cash_before_paid,cash_before_locked,full_restore_cost,locked_cash_shortfall,paid_cash_surplus,cumulative_paid
S1_F1_open_b10_e0_d0_main,2023-08-24,2020-06-30,0,0.0,2020-06-30,True,23762.998575000263,22462.998575000263,22527.725224999995,64.72664999973131,1235.2733500002687,1300.0
S1_F1_open_b10_e0_d0_main,2023-08-24,2021-07-27,1000,250.0,2021-07-27,True,23762.998575000263,22462.998575000263,22527.725224999995,64.72664999973131,1235.2733500002687,1300.0
S1_F1_open_b10_e0_d0_main,2023-08-24,2022-08-05,1000,500.0,2022-08-05,True,23762.998575000263,22462.998575000263,22527.725224999995,64.72664999973131,1235.2733500002687,1300.0
S1_F1_open_b10_e0_d0_main,2023-08-24,2023-07-28,1000,550.0,2023-07-28,True,23762.998575000263,22462.998575000263,22527.725224999995,64.72664999973131,1235.2733500002687,1300.0
S1_F1_post0935_b10_e0_d0_main,2023-03-24,2020-06-30,0,0.0,2020-06-30,True,17788.103282800213,17038.103282800213,17152.301471299998,114.19818849978401,635.801811500216,750.0
S1_F1_post0935_b10_e0_d0_main,2023-03-24,2021-07-27,1000,250.0,2021-07-27,True,17788.103282800213,17038.103282800213,17152.301471299998,114.19818849978401,635.801811500216,750.0
S1_F1_post0935_b10_e0_d0_main,2023-03-24,2022-08-05,1000,500.0,2022-08-05,True,17788.103282800213,17038.103282800213,17152.301471299998,114.19818849978401,635.801811500216,750.0
