clock,open,high,low,close,open_1m,high_1m,low_1m,close_1m
09:35,69.5,70.79,69.49,70.49,69.5,70.81999969482422,69.43000030517578,70.48999786376953
09:40,70.52,70.65,69.25,70.07,70.5199966430664,70.6500015258789,69.25,70.41999816894531
09:45,70.6,70.64,69.5,69.67,70.44000244140625,70.63999938964844,69.5,69.66999816894531
09:50,69.67,69.67,68.16,68.24,69.66999816894531,69.66999816894531,68.12999725341797,68.23999786376953
09:55,68.43,69.01,68.3,69.0,68.43000030517578,69.01000213623047,68.30000305175781,69.0
10:00,69.05,69.05,68.02,68.68,69.05000305175781,69.05000305175781,67.94999694824219,68.68000030517578
10:05,68.68,68.93,68.21,68.85,68.68000030517578,68.93000030517578,68.20999908447266,68.8499984741211
10:10,68.85,69.66,68.85,69.66,68.8499984741211,69.66000366210938,68.8499984741211,69.66000366210938
10:15,69.76,70.64,69.74,70.52,69.76000213623047,70.63999938964844,69.73999786376953,70.5199966430664
10:20,70.52,71.06,70.34,71.06,70.5199966430664,71.08000183105469,70.33999633789062,71.05999755859375
10:25,71.13,71.7,70.8,70.85,71.12999725341797,71.76000213623047,70.80000305175781,70.8499984741211
10:30,70.84,70.86,70.39,70.39,70.83999633789062,70.86000061035156,70.38999938964844,70.38999938964844
10:35,70.35,71.13,70.31,71.12,70.3499984741211,71.12999725341797,70.30999755859375,71.12000274658203
10:40,71.13,71.16,70.44,70.44,71.12999725341797,71.16000366210938,70.44000244140625,70.44000244140625
10:45,70.43,70.7,70.29,70.38,70.43000030517578,70.69999694824219,70.29000091552734,70.37999725341797
10:50,70.36,70.39,70.01,70.01,70.36000061035156,70.38999938964844,70.01000213623047,70.01000213623047
10:55,70.01,70.85,70.01,70.85,70.01000213623047,70.8499984741211,70.01000213623047,70.8499984741211
11:00,70.86,70.86,70.36,70.36,70.86000061035156,70.86000061035156,70.36000061035156,70.36000061035156
11:05,70.36,70.97,70.36,70.64,70.36000061035156,70.97000122070312,70.36000061035156,70.63999938964844
11:10,70.69,70.97,70.66,70.74,70.69000244140625,70.97000122070312,70.66000366210938,70.73999786376953
11:15,70.74,70.83,70.38,70.42,70.73999786376953,70.83000183105469,70.37999725341797,70.41999816894531
11:20,70.42,70.49,70.08,70.08,70.41999816894531,70.48999786376953,70.08000183105469,70.08000183105469
11:25,70.06,70.06,69.57,69.9,70.05999755859375,70.05999755859375,69.56999969482422,69.9000015258789
11:30,69.96,69.97,69.73,69.85,69.95999908447266,69.97000122070312,69.7300033569336,69.8499984741211
13:05,69.78,69.9,68.88,68.95,69.77999877929688,69.9000015258789,68.87999725341797,68.94999694824219
13:10,68.96,69.17,68.84,68.9,68.95999908447266,69.16999816894531,68.83999633789062,68.9000015258789
13:15,68.91,69.1,68.9,69.04,68.91000366210938,69.0999984741211,68.9000015258789,69.04000091552734
13:20,69.05,69.05,68.81,68.88,69.05000305175781,69.05000305175781,68.80999755859375,68.87999725341797
13:25,68.9,68.94,68.69,68.81,68.9000015258789,68.94000244140625,68.69000244140625,68.80999755859375
13:30,68.79,68.92,68.67,68.82,68.79000091552734,68.91999816894531,68.66999816894531,68.81999969482422
13:35,68.82,68.82,68.51,68.75,68.81999969482422,68.81999969482422,68.51000213623047,68.75
13:40,68.78,68.81,68.68,68.7,68.77999877929688,68.80999755859375,68.68000030517578,68.69999694824219
13:45,68.72,68.72,68.39,68.43,68.72000122070312,68.72000122070312,68.38999938964844,68.43000030517578
13:50,68.44,68.44,68.2,68.27,68.44000244140625,68.44000244140625,68.19999694824219,68.2699966430664
13:55,68.28,68.45,68.27,68.45,68.27999877929688,68.44999694824219,68.2699966430664,68.44999694824219
14:00,68.46,68.52,68.06,68.07,68.45999908447266,68.5199966430664,68.05999755859375,68.06999969482422
14:05,68.06,68.06,67.8,67.95,68.05999755859375,68.05999755859375,67.79000091552734,67.94999694824219
14:10,67.93,68.14,67.89,68.05,67.93000030517578,68.13999938964844,67.88999938964844,68.05000305175781
14:15,67.95,68.34,67.9,68.03,67.94999694824219,68.33999633789062,67.9000015258789,68.02999877929688
14:20,68.02,68.33,68.01,68.01,68.0199966430664,68.33000183105469,68.01000213623047,68.01000213623047
14:25,68.01,68.01,67.88,67.93,68.01000213623047,68.01000213623047,67.87999725341797,67.93000030517578
14:30,67.94,68.0,67.83,67.83,67.94000244140625,68.0,67.83000183105469,67.83000183105469
14:35,67.81,67.81,67.39,67.52,67.80999755859375,67.80999755859375,67.37000274658203,67.5199966430664
14:40,67.52,67.71,67.45,67.6,67.5199966430664,67.70999908447266,67.44999694824219,67.5999984741211
14:45,67.61,67.67,67.51,67.64,67.61000061035156,67.66999816894531,67.51000213623047,67.63999938964844
14:50,67.67,68.12,67.64,67.94,67.66999816894531,68.12000274658203,67.63999938964844,67.94000244140625
14:55,67.94,67.94,67.59,67.59,67.94000244140625,67.94000244140625,67.58999633789062,67.58999633789062
15:00,67.59,67.62,67.56,67.62,67.58999633789062,67.62000274658203,67.55999755859375,67.62000274658203
