scenario,event,increment,start,end
S1_F1_open_b5_e0_d0_exdate_reference,56,381.48106730000654,2023-09-07,2023-09-22
S1_F1_open_b5_e0_d0_exdate_reference,57,-239.41797849999784,2023-09-25,2023-10-30
S1_F1_open_b5_e0_d0_exdate_reference,58,-72.39112019999811,2023-10-31,2023-11-17
S1_F1_open_b5_e0_d0_exdate_reference,59,-104.53407035000055,2023-11-20,2023-11-28
S1_F1_open_b5_e0_d0_exdate_reference,6,-143.26990909999586,2020-04-15,2020-05-19
S1_F1_open_b5_e0_d0_exdate_reference,60,-162.78656314999898,2023-11-29,2023-12-08
S1_F1_open_b5_e0_d0_exdate_reference,61,-53.70310259999678,2023-12-11,2023-12-19
S1_F1_open_b5_e0_d0_exdate_reference,62,-32.1123624999982,2023-12-20,2024-01-11
S1_F1_open_b5_e0_d0_exdate_reference,63,-344.2911535999938,2024-01-12,2024-02-19
S1_F1_open_b5_e0_d0_exdate_reference,64,722.2874263000049,2024-02-20,2024-02-27
S1_F1_open_b5_e0_d0_exdate_reference,65,1149.1790989000037,2024-02-28,2024-03-18
S1_F1_open_b5_e0_d0_exdate_reference,66,161.33827855000345,2024-03-19,2024-04-26
S1_F1_open_b5_e0_d0_exdate_reference,67,-827.6620738999954,2024-04-29,2024-05-17
S1_F1_open_b5_e0_d0_exdate_reference,68,230.2949564000046,2024-05-20,2024-06-06
S1_F1_open_b5_e0_d0_exdate_reference,69,-17.264167350000207,2024-06-07,2024-07-01
S1_F1_open_b5_e0_d0_exdate_reference,7,-184.08419569999387,2020-05-20,2020-06-16
S1_F1_open_b5_e0_d0_exdate_reference,70,709.7563100500083,2024-07-02,2024-07-31
S1_F1_open_b5_e0_d0_exdate_reference,71,994.1019977000033,2024-08-01,2024-08-08
S1_F1_open_b5_e0_d0_exdate_reference,72,122.54719889999978,2024-08-09,2024-08-23
S1_F1_open_b5_e0_d0_exdate_reference,73,171.18707415000972,2024-08-26,2024-09-24
S1_F1_open_b5_e0_d0_exdate_reference,74,-866.6122581499876,2024-09-25,2024-11-07
S1_F1_open_b5_e0_d0_exdate_reference,75,831.9032296500118,2024-11-08,2024-11-19
S1_F1_open_b5_e0_d0_exdate_reference,76,353.73000200000024,2024-11-20,2024-11-27
S1_F1_open_b5_e0_d0_exdate_reference,77,-43.206537499998376,2024-11-28,2024-12-05
S1_F1_open_b5_e0_d0_exdate_reference,78,-64.35655009999755,2024-12-06,2024-12-19
S1_F1_open_b5_e0_d0_exdate_reference,79,-202.39086284999212,2024-12-20,2025-01-07
S1_F1_open_b5_e0_d0_exdate_reference,8,-720.7323172999895,2020-06-17,2020-07-29
S1_F1_open_b5_e0_d0_exdate_reference,80,310.46945075002077,2025-01-08,2025-02-21
S1_F1_open_b5_e0_d0_exdate_reference,81,364.9357045500001,2025-02-24,2025-03-04
S1_F1_open_b5_e0_d0_exdate_reference,82,-346.4339560999979,2025-03-05,2025-03-24
S1_F1_open_b5_e0_d0_exdate_reference,83,38.87072789999729,2025-03-25,2025-04-09
S1_F1_open_b5_e0_d0_exdate_reference,84,272.86339155000314,2025-04-10,2025-04-21
S1_F1_open_b5_e0_d0_exdate_reference,85,-1301.3101530499844,2025-04-22,2025-05-29
S1_F1_open_b5_e0_d0_exdate_reference,86,90.07177335000233,2025-05-30,2025-06-18
S1_F1_open_b5_e0_d0_exdate_reference,87,-183.65253799999846,2025-06-19,2025-07-03
S1_F1_open_b5_e0_d0_exdate_reference,88,-278.4747378999891,2025-07-04,2025-07-28
S1_F1_open_b5_e0_d0_exdate_reference,89,1080.4392712310291,2025-07-29,2025-09-10
S1_F1_open_b5_e0_d0_exdate_reference,9,-29.13925489999383,2020-07-30,2020-08-12
S1_F1_open_b5_e0_d0_exdate_reference,90,54.3892036320176,2025-09-11,2025-09-22
S1_F1_open_b5_e0_d0_exdate_reference,91,1944.439849988994,2025-09-23,2025-10-15
S1_F1_open_b5_e0_d0_exdate_reference,92,8875.465377552056,2025-10-16,2025-11-28
S1_F1_open_b5_e0_d0_exdate_reference,93,-127.10570495401043,2025-12-01,2025-12-09
S1_F1_open_b5_e0_d0_exdate_reference,94,1084.0128017399984,2025-12-10,2025-12-17
S1_F1_open_b5_e0_d0_exdate_reference,95,-1391.7448840590077,2025-12-18,2026-01-09
S1_F1_open_b5_e0_d0_exdate_reference,96,1390.8955221330107,2026-01-12,2026-01-30
S1_F1_open_b5_e0_d0_exdate_reference,97,-720.0980170739931,2026-02-02,2026-02-25
S1_F1_open_b5_e0_d0_exdate_reference,98,1547.3026574550022,2026-02-26,2026-03-09
S1_F1_open_b5_e0_d0_exdate_reference,99,-4378.297753952938,2026-03-10,2026-05-11
S1_F1_open_b10_e0_d0_exdate_reference,0,-175.96902219999902,2020-01-02,2020-01-09
S1_F1_open_b10_e0_d0_exdate_reference,1,1856.0512138000195,2020-01-10,2020-02-10
S1_F1_open_b10_e0_d0_exdate_reference,10,47.929553200003284,2020-08-13,2020-08-27
S1_F1_open_b10_e0_d0_exdate_reference,100,1414.4410552560876,2026-05-12,2026-07-09
S1_F1_open_b10_e0_d0_exdate_reference,101,137.2079195840197,2026-07-10,2026-08-04
S1_F1_open_b10_e0_d0_exdate_reference,102,186.4872757980047,2026-08-05,2026-08-14
S1_F1_open_b10_e0_d0_exdate_reference,103,340.2249700620014,2026-08-17,2026-08-26
S1_F1_open_b10_e0_d0_exdate_reference,104,356.53757040599885,2026-08-27,2026-09-11
S1_F1_open_b10_e0_d0_exdate_reference,11,-405.9725827999937,2020-08-28,2020-10-12
S1_F1_open_b10_e0_d0_exdate_reference,12,77.79933259999962,2020-10-13,2020-10-20
S1_F1_open_b10_e0_d0_exdate_reference,13,-478.82136439998794,2020-10-21,2020-11-13
S1_F1_open_b10_e0_d0_exdate_reference,14,-33.37651959999857,2020-11-16,2020-12-01
S1_F1_open_b10_e0_d0_exdate_reference,15,-719.3340127999836,2020-12-02,2021-02-04
S1_F1_open_b10_e0_d0_exdate_reference,16,89.78167800001393,2021-02-05,2021-03-16
S1_F1_open_b10_e0_d0_exdate_reference,17,-71.19885039999645,2021-03-17,2021-03-30
S1_F1_open_b10_e0_d0_exdate_reference,18,-77.27986939999755,2021-03-31,2021-04-19
S1_F1_open_b10_e0_d0_exdate_reference,19,-456.6553499999827,2021-04-20,2021-06-17
S1_F1_open_b10_e0_d0_exdate_reference,2,351.7957124000168,2020-02-11,2020-03-10
S1_F1_open_b10_e0_d0_exdate_reference,20,-56.23809919999985,2021-06-18,2021-07-05
S1_F1_open_b10_e0_d0_exdate_reference,21,-7.1261691999989125,2021-07-06,2021-07-15
S1_F1_open_b10_e0_d0_exdate_reference,22,-130.52498979999473,2021-07-16,2021-07-30
S1_F1_open_b10_e0_d0_exdate_reference,23,-85.93139079999673,2021-08-02,2021-08-10
S1_F1_open_b10_e0_d0_exdate_reference,24,-138.34034999999676,2021-08-11,2021-09-01
S1_F1_open_b10_e0_d0_exdate_reference,25,-192.85566199999812,2021-09-02,2021-10-08
S1_F1_open_b10_e0_d0_exdate_reference,26,-530.6761223999838,2021-10-11,2021-11-30
S1_F1_open_b10_e0_d0_exdate_reference,27,-104.2374893999986,2021-12-01,2021-12-23
S1_F1_open_b10_e0_d0_exdate_reference,28,-46.40721999999914,2021-12-24,2021-12-31
S1_F1_open_b10_e0_d0_exdate_reference,29,-36.57935980000002,2022-01-04,2022-02-08
S1_F1_open_b10_e0_d0_exdate_reference,3,230.03074580000248,2020-03-11,2020-03-24
S1_F1_open_b10_e0_d0_exdate_reference,30,-48.88371919999736,2022-02-09,2022-02-18
S1_F1_open_b10_e0_d0_exdate_reference,31,-26.510827000000063,2022-02-21,2022-03-11
S1_F1_open_b10_e0_d0_exdate_reference,32,-245.84975919999124,2022-03-14,2022-04-27
S1_F1_open_b10_e0_d0_exdate_reference,33,-78.57348619999902,2022-04-28,2022-05-17
S1_F1_open_b10_e0_d0_exdate_reference,34,51.65192090000164,2022-05-18,2022-05-25
S1_F1_open_b10_e0_d0_exdate_reference,35,-74.55197959999714,2022-05-26,2022-06-14
S1_F1_open_b10_e0_d0_exdate_reference,36,-187.52978029999576,2022-06-15,2022-07-18
S1_F1_open_b10_e0_d0_exdate_reference,37,-424.1637400999898,2022-07-19,2022-09-05
S1_F1_open_b10_e0_d0_exdate_reference,38,-28.489259899999524,2022-09-06,2022-09-27
S1_F1_open_b10_e0_d0_exdate_reference,39,-145.9537410999983,2022-09-28,2022-10-12
S1_F1_open_b10_e0_d0_exdate_reference,4,88.9643528000015,2020-03-25,2020-04-02
S1_F1_open_b10_e0_d0_exdate_reference,40,-120.92065050000019,2022-10-13,2022-11-01
S1_F1_open_b10_e0_d0_exdate_reference,41,-89.34930979999444,2022-11-02,2022-11-29
S1_F1_open_b10_e0_d0_exdate_reference,42,-172.9308001999998,2022-11-30,2023-01-05
S1_F1_open_b10_e0_d0_exdate_reference,43,-138.4192210000001,2023-01-06,2023-01-13
