scenario,year,increment,fees,tax,deficit_days,sales
S0_post0935_b5_e0_d1_main,2022,-1014.9013310549271,1428.9358310549999,45.0,104,69
S0_post0935_b5_e0_d1_main,2023,-649.0,0.0,0.0,242,0
S0_post0935_b5_e0_d1_main,2024,-696.0000000000018,0.0,0.0,242,0
S0_post0935_b5_e0_d1_main,2025,-5586.115714344996,23.501214344999998,0.0,240,1
S0_post0935_b5_e0_d1_main,2026,-242.40000000000873,0.0,0.0,169,0
S0_post0935_b5_e0_d3_main,2020,-2441.4694934998224,3087.0344935000003,0.0,0,121
S0_post0935_b5_e0_d3_main,2021,-3179.3000883998266,2825.9200884,50.0,0,122
S0_post0935_b5_e0_d3_main,2022,-993.321236054926,1415.565736055,45.0,106,68
S0_post0935_b5_e0_d3_main,2023,-649.0,0.0,0.0,242,0
S0_post0935_b5_e0_d3_main,2024,-695.9999999999982,0.0,0.0,242,0
S0_post0935_b5_e0_d3_main,2025,-5586.115714345004,23.501214344999998,0.0,240,1
S0_post0935_b5_e0_d3_main,2026,-242.40000000000873,0.0,0.0,169,0
S0_post0935_b10_e0_d0_main,2020,-4245.001586999815,3086.1315870000003,0.0,0,121
S0_post0935_b10_e0_d0_main,2021,-1800.3483155399263,1093.99131554,22.5,156,44
S0_post0935_b10_e0_d0_main,2022,-630.030779329978,560.59277933,45.0,186,28
S0_post0935_b10_e0_d0_main,2023,-649.0,0.0,0.0,242,0
S0_post0935_b10_e0_d0_main,2024,-696.0,0.0,0.0,242,0
S0_post0935_b10_e0_d0_main,2025,-5603.1261386900005,23.49713869,0.0,240,1
S0_post0935_b10_e0_d0_main,2026,-242.40000000000873,0.0,0.0,169,0
S0_post0935_b10_e0_d1_main,2020,-4245.001586999815,3086.1315870000003,0.0,0,121
S0_post0935_b10_e0_d1_main,2021,-1872.2398080799267,1058.65580808,22.5,158,43
S0_post0935_b10_e0_d1_main,2022,-475.03786231998674,274.78286232000005,45.0,216,13
S0_post0935_b10_e0_d1_main,2023,-649.0,0.0,0.0,242,0
S0_post0935_b10_e0_d1_main,2024,-1151.506823560001,21.59082356,0.0,240,1
S0_post0935_b10_e0_d1_main,2025,-4066.7999999999993,0.0,0.0,243,0
S0_post0935_b10_e0_d1_main,2026,-300.0000000000073,0.0,0.0,169,0
S0_post0935_b10_e0_d3_main,2020,-4245.001586999815,3086.1315870000003,0.0,0,121
S0_post0935_b10_e0_d3_main,2021,-1855.1697686199277,1036.99876862,22.5,160,42
S0_post0935_b10_e0_d3_main,2022,-424.03162964998046,387.52362965000003,45.0,204,19
S0_post0935_b10_e0_d3_main,2023,-649.0,0.0,0.0,242,0
S0_post0935_b10_e0_d3_main,2024,-1193.5560339699987,21.79903397,0.0,240,1
S0_post0935_b10_e0_d3_main,2025,-4066.7999999999993,0.0,0.0,243,0
S0_post0935_b10_e0_d3_main,2026,-300.0000000000073,0.0,0.0,169,0
S1_F1_open_b5_e1_d0_extra_cost,2020,201.39750984004786,1309.36649016,0.0,0,51
S1_F1_open_b5_e1_d0_extra_cost,2021,-1850.4405164,1076.5245164,50.0,0,46
S1_F1_open_b5_e1_d0_extra_cost,2022,-1298.767575199996,843.7195752,100.0,0,42
S1_F1_open_b5_e1_d0_extra_cost,2023,-1444.207004239981,715.06300424,110.0,0,29
S1_F1_open_b5_e1_d0_extra_cost,2024,2914.470622980032,802.85137702,116.0,0,37
S1_F1_open_b5_e1_d0_extra_cost,2025,10147.247124617239,1464.3088753828001,128.0,0,46
S1_F1_open_b5_e1_d0_extra_cost,2026,1200.4316757368797,1757.6363242632003,196.0,0,35
S1_F1_open_b5_e2_d0_extra_cost,2020,48.26896148004016,1309.28903852,0.0,0,51
S1_F1_open_b5_e2_d0_extra_cost,2021,-1969.3677357999877,1076.4657358,50.0,0,46
S1_F1_open_b5_e2_d0_extra_cost,2022,-1381.234304399988,843.6783044,100.0,0,42
S1_F1_open_b5_e2_d0_extra_cost,2023,-1540.6894382799892,715.02143828,110.0,0,29
S1_F1_open_b5_e2_d0_extra_cost,2024,2748.399276810018,802.80972319,116.0,0,37
S1_F1_open_b5_e2_d0_extra_cost,2025,9807.258671053412,1464.2233289466,128.0,0,46
S1_F1_open_b5_e2_d0_extra_cost,2026,756.2209863596654,1757.5250136404,196.0,0,35
S1_F1_open_b10_e1_d0_extra_cost,2020,-564.2452319600707,1308.97923196,0.0,0,51
S1_F1_open_b10_e1_d0_extra_cost,2021,-2445.076613400077,1076.2306134,50.0,0,46
S1_F1_open_b10_e1_d0_extra_cost,2022,-1711.101221200035,843.5132212000001,100.0,0,42
S1_F1_open_b10_e1_d0_extra_cost,2023,-1926.6191744400348,714.85517444,110.0,0,29
S1_F1_open_b10_e1_d0_extra_cost,2024,-1331.6549957690004,34.046095769000004,0.0,228,2
S1_F1_open_b10_e1_d0_extra_cost,2025,-4242.588702956007,43.565102956000004,0.0,231,2
S1_F1_open_b10_e1_d0_extra_cost,2026,-242.40000000000146,0.0,0.0,169,0
S1_F1_open_b10_e2_d0_extra_cost,2020,-717.3737803200493,1308.9017803200002,0.0,0,51
S1_F1_open_b10_e2_d0_extra_cost,2021,-2564.0038328000464,1076.1718328000002,50.0,0,46
S1_F1_open_b10_e2_d0_extra_cost,2022,-1793.5679504000418,843.4719504000001,100.0,0,42
S1_F1_open_b10_e2_d0_extra_cost,2023,-1929.976977244034,724.8125772440001,110.0,6,29
S1_F1_open_b10_e2_d0_extra_cost,2024,-1336.9635417480022,34.04474174800001,0.0,228,2
S1_F1_open_b10_e2_d0_extra_cost,2025,-4066.7999999999956,0.0,0.0,243,0
S1_F1_open_b10_e2_d0_extra_cost,2026,-300.00000000001455,0.0,0.0,169,0
S1_F1_post0935_b5_e1_d0_extra_cost,2020,941.856318720038,1309.3516812800003,0.0,0,51
