scenario,base_increment,linear_budget_consumption,exact_fixed_order_cost_consumption,fixed_order_increment,rerun_increment,path_feedback,first_quantity_participation_change,sales,completed,deficit_days,terminal_missing
S1_F1_open_b5_e1_d0_extra_cost,11271.407257445666,1401.7316425,1401.2754201116527,9870.131837334013,9870.131837334222,2.091837814077735e-10,,286,286,0,0
S1_F1_open_b5_e2_d0_extra_cost,11271.407257445666,2803.463285,2802.550840222475,8468.85641722319,8468.85641722317,-2.000888343900442e-11,,286,286,0,0
S1_F1_open_b10_e1_d0_extra_cost,4265.030156890658,1401.7302849999999,1401.2754201124537,2863.7547367782045,-12463.685939725226,-15327.440676503431,2024-01-22,172,171,628,100
S1_F1_open_b10_e2_d0_extra_cost,4265.030156890658,2803.4605699999997,2802.5508402232194,1462.4793166674385,-12708.686082512184,-14171.165399179623,2023-12-12,170,169,646,100
S1_F1_post0935_b5_e1_d0_extra_cost,8099.216504720724,1402.048801,1401.5924806565845,6697.624024064139,6697.624024064193,5.3660187404602766e-11,,286,286,0,0
S1_F1_post0935_b5_e2_d0_extra_cost,8099.216504720724,2804.097602,2803.1849613124823,5296.031543408241,5296.0315434082295,-1.1823431123048067e-11,,286,286,0,0
S1_F1_post0935_b10_e1_d0_extra_cost,1091.254101440718,1402.0476019999999,1401.5924806574053,-310.3383792166874,-12588.024386571225,-12277.686007354538,2023-04-06,157,156,789,100
S1_F1_post0935_b10_e2_d0_extra_cost,1091.254101440718,2804.0952039999997,2803.184961313223,-1711.9308598725052,-12604.445798028144,-10892.514938155638,2023-03-24,156,155,778,100
